KEGG_Class	S1	S2	S3	S4	S5	A	B	C	D	E
Other amino acid metabolism	2.55541E-07	9.20689E-07	7.92502E-07	2.49464E-07	6.9866E-07	2.90615E-07	0	0	9.17788E-07	5.15685E-07
Photosynthesis	4.08865E-06	1.03906E-05	2.90584E-06	7.48392E-07	1.39732E-06	0.000001889	5.02712E-06	4.40576E-06	1.83558E-06	1.28921E-06
Repair system	1.34159E-06	1.18374E-06	0	4.98928E-07	0	0	8.37853E-07	0	1.37668E-06	0
RNA processing	9.65944E-05	6.11601E-05	0.000336681	0.00013047	0.000241736	0.000136299	0.000192985	0.000169492	0.000297134	0.00021994
Lipid metabolism	1.85267E-06	2.89359E-06	0	1.99571E-06	5.23995E-07	2.03431E-06	2.51356E-06	1.55498E-06	5.04783E-06	7.73527E-07
Mineral and organic ion transport system	1.18826E-05	8.54925E-06	6.20794E-06	2.7441E-06	2.44531E-06	2.90615E-06	2.79284E-07	1.55498E-06	5.04783E-06	4.12548E-06
Protein processing	1.76323E-05	7.22083E-05	5.15127E-05	3.66712E-05	4.99542E-05	2.16508E-05	3.82619E-05	5.83116E-05	3.73999E-05	4.28019E-05
Alkaloid and other secondary metabolite biosynthesis	1.91655E-07	7.89162E-07	1.32084E-07	2.49464E-07	1.74665E-07	1.30777E-06	2.79284E-07	2.59163E-07	1.37668E-06	0
Lysine metabolism	0.005129787	0.006419306	0.006575789	0.007772802	0.005110173	0.014754969	0.006202345	0.005945448	0.012798095	0.005910265
Cysteine and methionine metabolism	0.001284731	0.001607654	0.001645631	0.001943076	0.001278547	0.003689796	0.001551145	0.001487075	0.003202162	0.001477695
Ubiquitin system	9.38473E-05	0.000324609	0.000222561	0.000183107	0.000255011	0.000157078	0.000238788	0.00028482	0.00015786	0.000261194
RNA polymerase	4.15254E-06	6.57635E-07	2.64167E-06	0	8.73325E-07	1.45308E-06	0	0	2.29447E-06	0
Pathogenicity	1.14993E-06	7.76009E-06	2.24542E-06	2.49464E-06	1.04799E-06	2.90615E-07	1.67571E-06	1.03665E-06	9.17788E-07	2.57842E-07
