KEGG_ID	SS1	SS2	SS3	SS4	SS5	SA	SB	SC	SD	SE	KEGG_Class	TS1	TS2	TS3	TS4	TS5	TA	TB	TC	TD	TE
Aromatics degradation	0.002039026	0.001276619	0.00152812	0.005045497	0.001176062	0.000717787	0.000339814	0.000323598	0.000640256	0.000314971	Aromatics degradation	7.33402E-05	0.000112982	0.000430065	0.002007936	0.000588621	0.000101861	8.01546E-05	7.54163E-05	0.000101416	7.70949E-05
Polyamine biosynthesis	0.000675528	0.000749328	0.000708986	4.51812E-05	7.05832E-05	0.000646178	0.000288327	0.000346175	0.000508865	0.000360638	Polyamine biosynthesis	7.66622E-07	4.07734E-06	4.0946E-06	1.49678E-06	1.92131E-06	8.71846E-07	1.67571E-06	1.29581E-06	1.14723E-06	2.06274E-06
Phosphotransferase system (PTS)	0.006239021	0.006470074	0.012521892	0.047803283	0.0125471	0.005497852	0.00286557	0.002915876	0.005298135	0.002824043	Phosphotransferase system (PTS)	0.001265821	0.00240313	0.002639297	0.006656949	0.00199642	0.000845545	0.000523099	0.000545278	0.001079778	0.000448646
Other terpenoid biosynthesis	4.35943E-05	7.04758E-05	1.28631E-05	1.47962E-05	3.89425E-06	2.9129E-05	2.89614E-05	2.25766E-05	5.05918E-05	2.63563E-05	Other terpenoid biosynthesis	1.2777E-07	1.05222E-06	0	2.49464E-07	3.4933E-07	8.71846E-07	5.58569E-07	0	9.17788E-07	0
Methane metabolism	0.001177146	0.001470645	0.000608027	0.00063148	0.000125103	0.000340081	0.000147381	0.000167981	0.000406699	0.00018058	Methane metabolism	8.30507E-06	2.59108E-05	1.45292E-05	1.74625E-05	8.20925E-06	6.10292E-06	5.3064E-06	4.1466E-06	1.00957E-05	4.64116E-06
Carbon fixation	0.010161307	0.008175273	0.019028372	0.071536882	0.019049356	0.008079408	0.004217102	0.004413726	0.00793652	0.004222496	Carbon fixation	0.001981973	0.003760488	0.003620415	0.007707941	0.002274312	0.001212156	0.000676427	0.000716844	0.001595345	0.000569316
ABC-2 type and other transport systems	0.00113105	0.001447069	0.000714823	0.000257876	0.000233168	0.00055515	0.000355903	0.000287045	0.000609066	0.000308969	ABC-2 type and other transport systems	0.000241039	0.000482704	0.000479992	0.000453027	0.000491682	0.000494918	0.000405241	0.000461569	0.000574765	0.000472625
DNA polymerase	0.000171976	0.00010584	7.24227E-06	3.54051E-05	3.89425E-06	1.04379E-05	9.6538E-07	6.18169E-06	1.52266E-05	2.08763E-06	DNA polymerase	4.47196E-07	6.57635E-07	0	9.97856E-07	1.74665E-07	0	2.79284E-07	0	4.58894E-07	2.57842E-07
Replication system	0.000645976	0.000216872	0.000342765	8.40212E-05	4.8029E-05	0.000144917	5.53485E-05	6.90737E-05	0.000129918	9.83796E-05	Replication system	3.70534E-06	6.44482E-06	8.84961E-06	1.74625E-06	1.57198E-06	2.61554E-06	4.18926E-06	5.18325E-06	1.60613E-06	4.89901E-06
Other carbohydrate metabolism	0.001471366	0.001047678	0.001342955	0.004904405	0.001153671	0.00073138	0.000354295	0.000332467	0.000669236	0.000345764	Other carbohydrate metabolism	0.00013154	0.000435749	0.000661475	0.002081029	0.000664949	0.000249929	0.000327321	0.000291558	0.000189294	0.000286205
Two-component regulatory system	0.0034715	0.002199877	0.001146333	0.000396326	0.000296125	0.000679433	0.000340457	0.000427074	0.000760104	0.000473631	Two-component regulatory system	0.001491271	0.002383927	0.002316749	0.002305298	0.001792936	0.004053791	0.002162498	0.002130057	0.00355987	0.002075374
Proteasome	0.000943298	0.001951317	0.000537982	0.000905473	9.55713E-05	0.000334012	0.00014352	0.000156155	0.00045729	0.000127346	Proteasome	7.02737E-06	2.53847E-05	1.585E-05	2.04561E-05	9.08258E-06	6.39353E-06	5.86497E-06	2.33246E-06	1.21607E-05	3.60979E-06
Pyrimidine metabolism	0.000214136	0.000101518	0.000187867	1.87594E-05	1.91467E-05	9.15135E-05	6.27497E-05	5.9398E-05	7.29405E-05	9.75968E-05	Pyrimidine metabolism	1.98044E-06	1.18374E-06	9.24586E-07	2.49464E-07	1.22265E-06	2.90615E-07	0	0	6.88341E-07	1.54705E-06
Nucleotide sugar	1.11404E-05	9.06558E-05	1.34036E-05	8.98339E-06	5.19233E-06	7.28224E-06	5.79228E-06	4.30031E-06	1.17884E-05	3.13145E-06	Nucleotide sugar	0	0	0	0	0	0	0	0	0	0
Branched-chain amino acid metabolism	0.000658751	0.00023012	0.000201378	7.39809E-05	3.06672E-05	0.000119914	6.95074E-05	6.42358E-05	0.000117393	9.55091E-05	Branched-chain amino acid metabolism	3.76922E-06	4.20886E-06	2.64167E-06	1.99571E-06	2.09598E-06	1.45308E-06	0	2.59163E-06	2.29447E-06	1.54705E-06
Nitrogen metabolism	0.00107825	0.000174351	0.00035833	7.74157E-05	0.000102548	0.000299786	0.000152208	0.000174162	0.0002618	0.000219723	Nitrogen metabolism	0.002566203	0.003213336	0.003290206	0.003889644	0.002559715	0.007378865	0.003105083	0.002976482	0.006400195	0.002959
Aromatic amino acid metabolism	0.000859678	0.000444943	0.000434969	0.000143206	0.000126238	0.000312894	0.000137084	0.000137072	0.000281938	0.000182407	Aromatic amino acid metabolism	7.66622E-06	2.31488E-05	1.8888E-05	1.29721E-05	1.90385E-05	7.12007E-06	1.17299E-05	1.58089E-05	1.7438E-05	1.57284E-05
Bacterial secretion system	0.000287315	0.00037994	0.000114579	8.63991E-05	3.39124E-05	0.000132294	3.92588E-05	4.08529E-05	0.000111253	3.26192E-05	Bacterial secretion system	3.38591E-06	8.41773E-06	6.20794E-06	9.97856E-07	2.09598E-06	3.778E-06	4.18926E-06	2.59163E-06	5.73617E-06	5.15685E-07
Saccharide and polyol transport system	0.000283513	0.001353017	0.000303635	0.000175969	9.42732E-05	0.000338139	0.000165724	0.000150779	0.000483569	0.000128128	Saccharide and polyol transport system	5.4494E-05	0.000178745	0.000162859	0.00011176	0.000180953	6.9457E-05	0.000132101	0.000160422	0.00010784	0.000139493
Serine and threonine metabolism	0.00024182	4.67312E-05	0.000229591	3.24987E-05	4.00783E-05	0.000166035	8.94586E-05	7.7943E-05	0.000111498	0.000131521	Serine and threonine metabolism	7.02737E-07	1.18374E-06	1.585E-06	2.49464E-07	1.04799E-06	7.26538E-07	2.79284E-07	7.77488E-07	1.14723E-06	0
Sulfur metabolism	0.00027811	0.000259871	0.000159438	2.45722E-05	2.92068E-05	0.000136178	0.00010233	0.000103745	0.000174615	0.000132304	Sulfur metabolism	3.4498E-06	1.34158E-05	6.4721E-06	0	2.79464E-06	2.47023E-06	5.58569E-06	4.66493E-06	2.06502E-06	2.57842E-06
Metabolic capacity	1.52763E-05	0.000488026	4.81017E-05	4.2539E-05	4.57574E-05	0.000198077	0.000111019	8.51998E-05	0.000265484	9.6292E-05	Metabolic capacity	7.66622E-06	4.57714E-05	2.06051E-05	1.0228E-05	1.88638E-05	1.06075E-05	2.62527E-05	2.66937E-05	1.46846E-05	1.52127E-05
Drug resistance	0.000529769	0.000490608	0.000188407	0.000175969	3.14785E-05	0.000126954	5.08434E-05	5.45601E-05	0.000113217	4.30574E-05	Drug resistance	2.81095E-06	1.70985E-06	1.98126E-06	9.97856E-07	1.74665E-06	1.01715E-06	2.79284E-07	5.18325E-07	2.98281E-06	0
Arginine and proline metabolism	4.08592E-05	7.83625E-05	1.94569E-05	7.39809E-06	5.67911E-06	2.54879E-05	9.6538E-06	5.37538E-06	2.79974E-05	7.04576E-06	Arginine and proline metabolism	2.55541E-07	1.18374E-06	3.96251E-07	0	0	7.26538E-07	5.58569E-07	0	2.29447E-07	0
Aminoacyl tRNA	1.05067E-05	0.000113306	1.66464E-05	1.18898E-05	2.59616E-05	1.99048E-05	1.67333E-05	2.25766E-05	2.38223E-05	1.98325E-05	Aminoacyl tRNA	5.11081E-07	1.70985E-06	1.18875E-06	1.49678E-06	2.27064E-06	7.26538E-07	1.95499E-06	1.81414E-06	9.17788E-07	1.8049E-06
Sugar metabolism	7.30463E-05	2.18079E-05	6.02082E-05	1.08329E-05	1.29808E-05	6.91813E-05	2.70306E-05	2.52643E-05	4.42064E-05	4.41012E-05	Sugar metabolism	1.91655E-07	7.89162E-07	6.60419E-07	0	0	4.35923E-07	0	0	1.14723E-06	2.57842E-07
ATP synthesis	0.000896168	0.00095966	0.000414755	0.000170684	8.74583E-05	0.000475531	0.000252608	0.000215553	0.000520653	0.000288093	ATP synthesis	0.001287861	0.001640536	0.001655273	0.001946319	0.001284661	0.00369648	0.001565668	0.00150081	0.003208357	0.001481305
Terpenoid backbone biosynthesis	0.000220606	0.00016739	6.72342E-05	4.72949E-05	1.46034E-05	3.54403E-05	1.57679E-05	1.58574E-05	3.41372E-05	1.33087E-05	Terpenoid backbone biosynthesis	9.58277E-07	2.63054E-07	1.32084E-06	0	0	1.16246E-06	5.58569E-07	2.59163E-07	1.14723E-06	0
Lipopolysaccharide metabolism	2.07798E-05	0.000121192	1.55655E-05	1.2154E-05	6.65267E-06	5.60733E-05	2.9605E-05	2.20391E-05	5.69771E-05	2.19201E-05	Lipopolysaccharide metabolism	6.38852E-07	5.78719E-06	1.18875E-06	0	6.9866E-07	1.74369E-06	3.07213E-06	2.33246E-06	2.29447E-06	1.03137E-06
Central carbohydrate metabolism	0.00269871	0.001889065	0.001603785	0.000373075	0.00028428	0.000732351	0.000420906	0.00046067	0.001250304	0.000486679	Central carbohydrate metabolism	3.76284E-05	0.000125871	8.71753E-05	2.96862E-05	3.09157E-05	5.18748E-05	8.85331E-05	7.72304E-05	3.60232E-05	7.16802E-05
Peptide and nickel transport system	0.000593676	0.000174323	0.000400595	3.83115E-05	4.25122E-05	0.000158025	8.07701E-05	9.29941E-05	0.000138513	0.000127085	Peptide and nickel transport system	0.000147766	0.000190583	0.000175275	0.000225516	0.000137112	0.000367628	0.000161985	0.000155757	0.0003857	0.000203953
Carbohydrate metabolism	0.000212401	0.000625329	0.00031866	6.97534E-05	8.63225E-05	0.000176716	0.000190502	0.000124709	0.000183702	0.000137784	Carbohydrate metabolism	4.70195E-05	0.000143101	0.000152689	0.00011176	0.000174665	6.27729E-05	0.000119534	0.000151351	9.26966E-05	0.000133047
Histidine metabolism	6.43408E-05	1.61665E-05	5.38306E-05	9.51183E-06	1.1845E-05	5.87434E-05	2.57435E-05	1.98889E-05	3.56107E-05	4.33184E-05	Histidine metabolism	1.91655E-07	3.94581E-07	2.64167E-07	0	0	1.45308E-07	0	0	2.29447E-07	0
Metallic cation iron-siderophore and vitamin B12 transport system	0.000732731	0.001051046	0.000451183	0.000238324	9.08658E-05	0.000273812	0.000173125	0.000149436	0.000267694	0.000137262	Metallic cation iron-siderophore and vitamin B12 transport system	5.16192E-05	0.000145732	0.000159293	0.000112758	0.000176412	6.48072E-05	0.000121768	0.000151869	9.72855E-05	0.000133047
Other amino acid metabolism	6.66089E-05	2.96386E-05	5.43711E-05	8.98339E-06	1.21695E-05	6.01999E-05	2.60653E-05	1.98889E-05	3.68387E-05	4.33184E-05	Other amino acid metabolism	2.55541E-07	9.20689E-07	7.92502E-07	2.49464E-07	6.9866E-07	2.90615E-07	0	0	9.17788E-07	5.15685E-07
Photosynthesis	0.00041593	0.000151926	0.000159006	4.06895E-05	3.14785E-05	0.0001789	8.94586E-05	8.30496E-05	0.000179527	0.000111427	Photosynthesis	4.08865E-06	1.03906E-05	2.90584E-06	7.48392E-07	1.39732E-06	1.889E-06	5.02712E-06	4.40576E-06	1.83558E-06	1.28921E-06
Repair system	8.87229E-06	6.02594E-05	9.18796E-06	1.2154E-05	1.29808E-06	3.08282E-05	3.53973E-06	6.18169E-06	2.25944E-05	4.69717E-06	Repair system	1.34159E-06	1.18374E-06	0	4.98928E-07	0	0	8.37853E-07	0	1.37668E-06	0
RNA processing	0.00462313	0.000722215	0.002453509	0.000277957	0.000373036	0.001245992	0.000921938	0.000942573	0.001431305	0.001227788	RNA processing	9.65944E-05	6.11601E-05	0.000336681	0.00013047	0.000241736	0.000136299	0.000192985	0.000169492	0.000297134	0.00021994
Lipid metabolism	0.000137987	0.000415052	7.05851E-05	4.41243E-05	2.10938E-05	0.000108505	2.31691E-05	2.92958E-05	0.000112481	3.70555E-05	Lipid metabolism	1.85267E-06	2.89359E-06	0	1.99571E-06	5.23995E-07	2.03431E-06	2.51356E-06	1.55498E-06	5.04783E-06	7.73527E-07
Mineral and organic ion transport system	0.000737567	0.000415529	0.000364924	6.6847E-05	5.38704E-05	0.000144674	8.7206E-05	8.08995E-05	0.000158161	0.00013126	Mineral and organic ion transport system	1.18826E-05	8.54925E-06	6.20794E-06	2.7441E-06	2.44531E-06	2.90615E-06	2.79284E-07	1.55498E-06	5.04783E-06	4.12548E-06
Protein processing	0.00016257	0.000505848	0.000106797	7.9001E-05	3.6184E-05	0.000230604	8.36663E-05	8.97689E-05	0.000226681	7.80252E-05	Protein processing	1.76323E-05	7.22083E-05	5.15127E-05	3.66712E-05	4.99542E-05	2.16508E-05	3.82619E-05	5.83116E-05	3.73999E-05	4.28019E-05
Alkaloid and other secondary metabolite biosynthesis	6.19393E-05	4.65067E-05	5.40468E-06	5.81278E-06	2.10938E-06	6.06854E-06	3.21793E-07	8.06307E-07	5.64859E-06	5.21908E-07	Alkaloid and other secondary metabolite biosynthesis	1.91655E-07	7.89162E-07	1.32084E-07	2.49464E-07	1.74665E-07	1.30777E-06	2.79284E-07	2.59163E-07	1.37668E-06	0
Lysine metabolism	0.001906575	0.000104886	0.000642833	0.000124711	0.000108552	0.000534274	0.000244241	0.000266081	0.000451151	0.000357768	Lysine metabolism	0.005129787	0.006419306	0.006575789	0.007772802	0.005110173	0.014754969	0.006202345	0.005945448	0.012798095	0.005910265
Cysteine and methionine metabolism	0.000953471	0.000273034	0.000369572	0.000117313	7.15568E-05	0.000241771	0.000100078	0.000115033	0.000208507	0.00013413	Cysteine and methionine metabolism	0.001284731	0.001607654	0.001645631	0.001943076	0.001278547	0.003689796	0.001551145	0.001487075	0.003202162	0.001477695
Ubiquitin system	0.001044962	0.001073471	0.000360925	0.00037149	6.24702E-05	0.000259248	0.000102974	0.000111002	0.0002451	8.84634E-05	Ubiquitin system	9.38473E-05	0.000324609	0.000222561	0.000183107	0.000255011	0.000157078	0.000238788	0.00028482	0.00015786	0.000261194
RNA polymerase	0.000268003	8.08324E-05	0.000135117	1.05687E-05	2.19051E-05	5.09757E-05	3.53973E-05	2.68769E-05	6.50816E-05	7.04576E-05	RNA polymerase	4.15254E-06	6.57635E-07	2.64167E-06	0	8.73325E-07	1.45308E-06	0	0	2.29447E-06	0
Pathogenicity	0.000488209	0.000850424	0.000559276	0.000143206	0.000142627	0.000265802	0.000179239	0.000154811	0.000602435	0.00016414	Pathogenicity	1.14993E-06	7.76009E-06	2.24542E-06	2.49464E-06	1.04799E-06	2.90615E-07	1.67571E-06	1.03665E-06	9.17788E-07	2.57842E-07
