	Description	MMETSP_ID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control	Up_-N_v_+N	Dn_-N_v_+N	Up_-P_v_+P	Dn_-P_v_+P
Throt9775	Locus7939v1rpkm13.03		48.7443755507	211.889987665	188.747654688	57.3767404174	54.6701303891	115.81014866	180.417647304	179.340493477	55.755620591	158.315277914	0	0	0	1
Throt974	Locus863v1rpkm108.07		2.23598052985	10.259105548	4.75501439382	3.74196133157	5.41461355292	5.23107321425	1.39642141876	0.259162562827	8.48953893773	2.06273977738	0	0	1	0
Throt9717	Locus7893v1rpkm13.10		759.977839516	46.2975019604	190.332659486	253.70497828	299.026400084	92.7062419636	281.518558022	107.293301011	145.239949935	107.004625952	1	0	0	0
Throt97	Locus99v1rpkm2142.79		10869.1652407	1558.98946232	4388.0857831	5918.28604201	3694.86242253	2077.462604	5666.39883304	4253.63514369	2894.47388377	4348.5132932	1	0	1	1
Throt9692	Locus7873v1rpkm13.13		62.7352251517	187.294439749	143.575017947	92.0522487566	70.3899761879	48.6780424103	140.200710443	124.138867594	61.491795549	118.6075372	1	0	0	0
Throt9675	Locus7858v2rpkm4.28		36.9895064795	172.168835415	142.914599281	44.4046078013	42.6182486101	88.4923218743	138.525004741	130.358769102	43.5949296802	118.349694727	0	0	0	1
Throt9664	Locus7850v2rpkm6.44		4.79138684967	15.6517123105	12.5479546504	7.23445857437	8.20925280604	15.6932196427	17.3156255926	31.8769952278	11.9312439125	32.4881514938	0	0	0	1
Throt9590	Locus7793v1rpkm13.29		14.054734759	21.7019540439	26.2846628992	8.23231492945	6.81193317948	5.37638080353	15.0813513226	17.1047291466	3.90059897139	20.1117128295	0	0	0	1
Throt9577	Locus7780v2rpkm1.56		876.184941911	3270.9448189	2021.67361977	2369.16045106	1877.47358324	1341.1890491	2118.09200797	2571.41094837	972.166931869	2555.47674171	0	0	0	1
Throt9546	Locus7754v1rpkm13.35		20.0599396106	86.5447621874	80.0427422961	22.950696167	22.5317789783	48.9686575889	78.1995994505	62.1990150786	23.6330408267	63.9449330989	0	0	0	1
Throt9524	Locus7732v2rpkm0.89_PRE		31.3676125759	112.850161028	97.6098788066	59.1229890388	106.021626665	32.4035924105	87.1366965305	82.1545324163	53.0022566112	76.3213717632	1	0	0	0
Throt952	Locus841v2rpkm56.52		15.076897287	13.6788073974	112.007005721	51.1401381981	63.7527079618	25.4288281248	68.9832180867	68.1597540236	62.4095835422	60.5929809607	1	0	0	0
Throt951	Locus841v1rpkm110.96		16.6101410789	17.0985092467	113.592010519	50.8906741093	64.8006976817	25.8647508927	68.9832180867	68.9372417121	62.4095835422	61.8821933215	1	0	0	0
Throt945	Locus836v1rpkm111.26		1621.72473572	152.439786284	593.452213096	517.6379842	617.964604846	296.718097319	1024.13546852	369.047489466	379.505335216	425.440079085	1	0	0	0
Throt9348	Locus7613v1rpkm13.58		1.5332437919	0.526107976823	3.30209332905	0.498928177543	1.22265467324	4.06861249997	17.3156255926	8.81152713613	3.90059897139	7.73527416519	1	0	0	0
Throt9335	Locus7609v1rpkm13.58		314.634403129	1276.99558674	1184.1306678	401.886647011	474.390013217	749.205930351	1120.20926213	1128.39379855	330.174230578	703.136421616	0	0	0	1
Throt9310	Locus7589v1rpkm13.61		0.255540631983	0.131526994206	1.45292106478	1.49678453263	2.44530934648	1.59838348213	1.39642141876	0.0	3.21225797644	0.0	0	0	1	0
Throt93	Locus95v1rpkm2368.15		13590.1618901	16383.2654523	17003.1389699	20171.666218	12573.9553245	34509.9712247	15791.0126876	14183.9670635	35571.6270431	17210.7271751	1	1	1	1
Throt9264	Locus7553v3rpkm1.55		996.225153784	2794.42251889	2039.50492375	1645.96405771	2351.6889315	1315.3242982	2068.10012118	2719.13360919	1212.62738611	2446.66721845	0	0	0	1
Throt9263	Locus7553v2rpkm1.87		3877.38189423	10211.0981952	7139.38994486	5743.16225169	8174.31981537	4560.4786897	7385.11431525	10215.1515764	4515.74637388	9215.80564041	0	0	0	1
Throt9262	Locus7553v1rpkm13.68		285.630541399	851.374233494	645.229036495	512.399238336	716.475638518	405.844096872	643.19170548	850.5715312	372.392478269	783.583272934	0	0	0	1
Throt923	Locus819v1rpkm113.82		406.565145484	17.7561442178	128.6495561	102.280276396	105.672296759	74.9787160709	216.166035624	87.8561087985	81.4536844025	94.3703448153	1	0	0	0
Throt92	Locus94v1rpkm2389.23		1850.36971619	191.371776569	810.333702948	1583.34857143	1032.79386898	376.491963836	847.348516903	675.895963854	292.774369853	450.450798886	1	0	0	1
Throt914	Locus811v1rpkm115.27		606.845115801	46.4290289546	206.711042398	205.05948097	235.797686982	102.441850446	410.268612831	161.458276642	120.689121115	150.064318805	1	0	0	0
Throt912	Locus809v1rpkm115.41		317.12592429	360.647018112	35.7946916868	143.691315132	1.57198457988	6.39353392852	3.35141140502	4.66492613089	15.8318428839	3.35195213825	0	0	1	0
Throt911	Locus808v1rpkm115.96		105.538281009	14.07338838	34.8701055547	52.8863868195	32.6623462708	28.3349799105	25.6941541052	16.586404021	57.1323025809	22.1744526069	0	0	1	0
Throt91	Locus93v1rpkm2404.72		1164.5625451	56.29355352	293.886306285	427.830912243	418.846558061	203.14000982	241.860189729	95.6309856833	413.234043969	130.210448447	1	0	1	0
Throt9095	Locus7425v1rpkm13.95		369.895064795	1420.75459141	848.505901831	1049.99434964	836.121131542	586.170815174	933.647360582	1100.66340433	413.463490967	1073.39821166	0	0	0	1
Throt9065	Locus7400v1rpkm14.01		0.191655473987	0.92068895944	1.58500479794	1.99571271017	0.52399485996	0.0	0.0	0.0	2.7533639798	0.0	0	0	1	0
Throt9055	Locus7395v1rpkm14.02		12.3298354932	37.3536663544	31.4359284925	20.9549834568	14.6718560789	9.4449933035	28.2077126589	19.1780296492	17.8968658687	17.5332881078	1	0	0	0
Throt9054	Locus7394v1rpkm14.02		513.317244495	893.725925628	1404.31425098	1559.40001891	536.221406692	1052.17225401	1485.51310528	2124.3555275	739.966569572	2362.86841499	0	0	0	1
Throt9047	Locus7391v1rpkm14.03		59.540967252	188.741236685	140.933343284	81.5747570282	67.0713420748	51.2935790175	134.894309052	124.138867594	58.5089845708	125.82712642	1	0	0	0
Throt904	Locus803v1rpkm117.03		136.778123269	20.1236301135	40.4176223475	87.5618951587	51.1768313227	10.1715312499	16.1984884576	9.58901482462	29.8281097812	16.2440757469	1	0	1	0
Throt9011	Locus7363v2rpkm8.54		18.8461216087	60.6339443288	69.7402111094	27.6905138536	35.4569855239	48.2421196425	78.1995994505	69.7147294006	18.814653862	42.5440079085	0	0	0	1
Throt901	Locus800v1rpkm117.17		1.78878442388	0.394580982617	3.56626079537	1.7462486214	7.8599228994	5.37638080353	3.07212712127	0.777487688482	10.3251149243	1.28921236086	0	0	1	1
Throt9	Locus9v1rpkm53763.09		3199.36871242	155.333380157	674.815792724	921.520343921	1073.31613815	544.467537049	467.242606717	221.065666092	879.240897551	288.525726362	1	1	1	1
Throt8943	Locus7311v1rpkm14.17		220.595450559	668.814765536	379.344481641	225.016608072	187.240829959	149.812124552	419.764278479	380.191479668	164.284050795	397.077407146	1	0	0	1
Throt89	Locus91v1rpkm2724.18		318.339742292	339.734226033	421.479192519	412.863066916	279.987920172	734.384556244	372.844518809	356.089361325	755.33951846	407.648948506	1	0	1	1
Throt8885	Locus7271v1rpkm14.26		166.165295947	624.2271145	384.891998433	464.003205115	375.878979544	269.981500891	443.782726881	497.851283192	175.297506714	482.423265436	0	0	0	1
Throt8839	Locus7233v2rpkm7.38		26.2567999362	117.190551837	101.308223335	29.9356906526	28.4703873911	65.9696455352	105.290174974	95.6309856833	31.8931327661	84.8301733449	0	0	0	1
Throt882	Locus783v1rpkm118.94		1168.58731006	66.5526590681	467.180164193	619.419332419	692.89586982	341.908757587	333.744719083	167.937340712	484.133166449	168.113291857	0	0	1	0
Throt881	Locus782v1rpkm119.07		0.191655473987	3.02512086673	0.660418665809	0.498928177543	0.8733247666	3.05145937498	2.51355855377	0.0	6.65396295119	0.515684944346	0	0	1	0
Throt88	Locus90v1rpkm2739.32		12970.667513	1050.11152174	5264.46135263	6610.79835244	6276.06110269	2611.90391739	5987.29647507	4452.15366681	3185.41267763	3713.70512671	1	0	1	1
Throt8757	Locus7170v1rpkm14.46		53.2802217684	272.129351012	204.861870134	65.8585194356	63.2287131018	125.255141963	198.291841464	210.180838453	60.1151135591	159.604490275	0	0	0	1
Throt8675	Locus7108v1rpkm14.58		11.9465245452	17.3615632352	40.021371148	20.2065911905	15.0211859855	7.70130223208	40.7755054278	26.9529065341	16.9790778755	41.2547955477	1	0	0	0
Throt8638	Locus7080v1rpkm14.64		55.5800874562	264.237731359	216.088987453	69.1015525896	63.5780430085	128.306601338	204.156811423	218.214877901	62.1801365439	175.59072355	0	0	0	1
Throt86	Locus88v1rpkm2874.68		1941.5977218	52.2162166997	218.202327183	492.691575323	417.973233295	141.384284374	80.4338737205	38.0968967356	146.387184926	47.700857352	1	0	1	1
Throt858	Locus766v1rpkm121.31		0.0638851579957	10.9167405191	0.792502398971	1.49678453263	1.39731962656	6.10291874995	2.79284283752	1.81413793979	11.2429029175	3.86763708259	0	0	1	0
Throt8569	Locus7024v1rpkm14.76		0.127770315991	8.15467364075	2.64167466324	0.748392266314	3.84262897304	3.7779973214	8.93709708005	4.14660100524	0.458893996634	5.15684944346	0	0	0	1
Throt855	Locus763v1rpkm122.49		0.0	2.63053988411	0.0	0.0	0.0	1.59838348213	0.0	0.0	5.50672795961	0.0	0	0	1	0
Throt8507	Locus6975v1rpkm14.87		0.319425789978	2.63053988411	1.18875359846	0.748392266314	0.8733247666	5.08576562496	1.11713713501	0.518325125655	10.3251149243	0.257842472173	0	0	1	0
Throt8505	Locus6973v1rpkm14.87		100.108042579	121.925523629	119.139527312	160.155944991	95.8910593726	296.863404908	117.578683459	111.439902016	253.309486142	135.882982835	0	1	1	0
Throt8490	Locus6961v1rpkm14.90		349.835125184	1036.43271434	750.763939292	644.864669474	867.735488093	528.919624996	792.05022872	1088.74192644	470.36634655	983.926873812	0	0	0	1
Throt8482	Locus6955v1rpkm14.91		0.0	0.263053988411	0.132083733162	0.0	0.17466495332	0.871845535708	0.0	0.0	2.52391698149	0.0	0	0	1	0
Throt8480	Locus6953v1rpkm14.91		63.7573876797	132.447683165	21.3975647722	187.098066578	2.6199742998	8.42784017851	5.30640139128	3.36911331676	12.6195849074	4.12547955477	0	0	1	0
Throt8435	Locus6923v3rpkm0.57_PRE		49.3193419727	193.344681482	145.424190211	106.521165905	168.202350047	60.0120343745	146.065680402	139.429458801	86.9604123621	145.680996778	1	0	0	0
Throt8377	Locus6879v1rpkm15.09		1010.08823307	2814.54614901	1984.69017449	1657.68886989	2256.67119689	1344.82173883	2092.11856958	2988.66267453	1291.78660052	2730.80962278	0	0	0	1
Throt8372	Locus6874v1rpkm15.12		476.008312226	1310.14038928	948.889539034	788.057056429	1080.65206619	637.173779013	970.792170321	1389.88882444	615.147402488	1247.44188037	0	0	0	1
Throt8369	Locus6871v1rpkm15.12		22.4236904565	72.3398468131	81.627747094	32.9292597178	43.14224347	57.687112946	93.8395193406	82.4136949791	24.5508288199	49.7635971294	0	0	0	1
Throt8340	Locus6843v2rpkm3.15		835.170670477	2267.6569071	1635.59286774	1372.55141642	1902.62533651	1121.33866651	1708.38196371	2402.43695741	1050.63780529	2150.14837545	0	0	0	1
Throt831	Locus744v1rpkm126.18		122.851158826	235.959427605	331.398086503	403.632895632	145.845236022	272.742345087	462.494773893	467.010938215	199.848335534	450.708641358	0	0	0	1
Throt830	Locus743v1rpkm126.20		46.5083950208	47.6127719025	11.6233685182	121.489011232	2.79463925312	4.79515044639	4.74783282378	3.36911331676	12.1606909108	1.54705483304	0	0	1	0
Throt83	Locus85v1rpkm2989.67		4181.1558205	674.601953281	1955.49966946	3223.82441919	2048.9945674	1062.63440044	2566.62256768	2084.44449282	1204.59674116	1531.06859976	1	0	1	1
Throt8296	Locus6806v1rpkm15.25		463.934017364	1381.29649315	877.035988194	499.42710572	436.487718346	303.692861605	836.177145553	820.249511349	343.711603479	810.39889004	1	0	0	1
Throt8221	Locus6742v1rpkm15.44		35.4562626876	117.190551837	105.006567864	74.3402984538	93.2710850728	37.0534352676	91.8845293543	87.3377836729	56.6734085843	96.1752421205	1	0	0	0
Throt8214	Locus6737v1rpkm15.46		597.390112417	37.4851933486	241.44906422	188.594851111	205.580650058	122.930220535	344.916090433	123.620542469	137.66819899	151.86921611	1	0	0	0
Throt8206	Locus6730v2rpkm11.54		167.123573317	603.708903404	383.174909902	452.278392942	367.844391692	260.245892409	436.521335504	474.008327411	175.756400711	463.085080023	0	0	0	1
Throt82	Locus84v2rpkm2.62_PRE		110.968519438	9.99605155963	57.4564239254	81.5747570282	102.702992552	77.4489450887	44.6854854003	20.7330050262	161.530686815	26.5577746338	1	0	1	1
Throt8191	Locus6718v1rpkm15.49		0.319425789978	1.05221595365	0.528334932647	0.748392266314	1.7466495332	1.30776830356	0.0	0.259162562827	4.35949296802	0.515684944346	0	0	1	0
Throt8108	Locus6653v1rpkm15.64		2.61929147782	0.657634971029	1.32083733162	2.74410497648	0.52399485996	1.45307589285	0.279284283752	0.518325125655	4.81838696466	0.515684944346	0	0	1	0
Throt81	Locus84v1rpkm3002.47		1248.63541303	156.648650099	670.457029529	1129.57339396	1480.80947425	1081.23377187	556.05500895	260.458375642	2082.23150973	319.724665495	0	0	1	0
Throt8061	Locus6620v2rpkm2.65		19.2933177147	87.8600321294	69.0797924436	21.7033757231	20.9597943984	46.9343513389	74.0103351942	59.3482268875	22.9446998317	55.9518164615	0	0	0	1
Throt8059	Locus6619v1rpkm15.74		23.7652787744	79.310777506	87.4394313531	30.4346188301	40.8715990769	56.5246522317	91.6052450706	79.0445816624	26.8452988031	53.1155492676	0	0	0	1
Throt8048	Locus6609v1rpkm15.76		2.23598052985	50.1117847924	2.7737583964	6.23660221928	8.20925280604	7.26537946423	0.0	0.518325125655	0.458893996634	0.773527416519	0	1	0	0
Throt802	Locus721v1rpkm130.48		335.077653687	461.133641685	425.970039447	483.960332216	328.020782335	995.938216957	381.223047321	421.139164595	740.425463569	400.429359285	0	1	0	0
Throt8012	Locus6579v1rpkm15.84		0.0638851579957	4.73497179141	5.5475167928	0.249464088771	2.09597943984	1.45307589285	0.0	0.259162562827	8.0306449411	0.0	0	0	1	0
Throt801	Locus720v1rpkm130.82		1.91655473987	8.94383560599	4.75501439382	2.74410497648	2.79463925312	2.90615178569	1.39642141876	1.81413793979	9.407326931	2.32058224956	0	0	1	0
Throt8004	Locus6573v1rpkm15.86		0.0	0.789161965234	0.264167466324	0.249464088771	0.17466495332	1.01715312499	0.558568567503	0.0	2.7533639798	0.257842472173	0	0	1	0
Throt800	Locus719v1rpkm130.89		0.511081263965	1.44679693626	0.0	0.0	0.0	3.92330491068	0.837852851255	0.518325125655	9.86622092763	0.0	0	0	1	0
Throt80	Locus83v1rpkm3255.78		3455.29265535	4201.89288389	4591.75889964	4969.8235765	3188.15939295	9313.4899352	3968.35038783	3835.08760472	8769.92316967	4095.82767047	0	1	1	1
Throt798	Locus717v1rpkm131.85		0.638851579957	1.57832393047	1.32083733162	0.249464088771	0.8733247666	1.59838348213	0.837852851255	0.0	3.90059897139	1.80489730521	0	0	1	0
Throt7950	Locus6526v1rpkm15.99		104.132807533	348.546534645	245.543659948	204.560552792	284.354544005	178.001796874	265.878638132	337.688819364	153.729488872	304.254117164	0	0	0	1
Throt7918	Locus6501v1rpkm16.04		1.02216252793	1.84137791888	1.58500479794	0.249464088771	0.34932990664	0.0	0.279284283752	0.0	2.7533639798	0.0	0	0	1	0
Throt79	Locus82v1rpkm3307.88		193.508143569	22.4911160092	113.19575932	170.383972631	235.972351935	46.2078133925	25.4148698214	13.9947783927	44.2832706752	13.6656510252	0	0	1	1
Throt789	Locus708v1rpkm133.52		1.4693586339	4.86649878561	2.64167466324	4.49035359788	3.66796401972	6.24822633924	1.67570570251	1.03665025131	6.65396295119	1.80489730521	0	0	1	0
Throt7845	Locus6440v1rpkm16.18		41.4614675392	193.607735471	164.57633152	50.142281843	47.508867303	99.6810062492	153.606356063	150.573449003	48.6427636432	136.914352724	0	0	0	1
Throt780	Locus702v1rpkm135.02		833.190230579	46.9551369314	293.490055086	311.830110964	420.942537501	130.776830356	557.730714652	200.591823628	189.752667608	198.023018629	1	0	0	0
Throt7775	Locus6387v2rpkm2.25		315.337139867	1176.77201716	755.254786219	929.752658851	712.807674499	523.107321425	837.573566971	933.762713867	358.396211371	918.177043408	0	0	0	1
Throt7774	Locus6387v1rpkm16.33		32.9647415258	107.983662243	74.0989743038	80.0779724956	68.1193317948	43.7375843747	74.0103351942	81.6362072907	29.3692157846	84.0566459284	0	0	0	1
Throt7714	Locus6338v2rpkm3.15		1205.76847201	3179.27050394	2260.21684186	1815.59963808	2566.52682408	1493.0354799	2282.86973539	3321.94573032	1435.87931547	3100.29788541	0	0	0	1
Throt77	Locus80v1rpkm3436.84		440.040968274	81.809790396	171.973020577	238.737132954	257.106811287	125.83637232	172.318403075	74.8979806571	281.760913933	123.764386643	0	0	1	1
Throt7617	Locus6260v1rpkm16.70		31.6231532079	141.917626748	123.498290506	40.9121105585	37.7276299171	81.2269424101	121.209379148	110.92157689	39.4648837105	100.81640662	0	0	0	1
Throt7594	Locus6242v1rpkm16.73		1.72489926588	5.12955277402	1.45292106478	0.997856355085	0.69865981328	5.08576562496	0.279284283752	0.0	3.44170497476	0.257842472173	0	0	1	0
Throt7563	Locus6216v1rpkm16.80		0.0	1.84137791888	0.792502398971	0.498928177543	0.52399485996	2.03430624998	1.11713713501	0.259162562827	3.90059897139	0.0	0	0	1	0
Throt7560	Locus6214v1rpkm16.80		0.0	0.131526994206	0.0	0.0	0.0	1.45307589285	0.0	0.0	2.52391698149	0.257842472173	0	0	1	0
Throt7555	Locus6209v1rpkm16.81		24.6596709863	90.6220990077	63.0039407182	27.1915856761	37.3783000105	39.5236642854	60.3254052904	61.4215273901	21.1091238452	57.4988712946	0	0	0	1
Throt7528	Locus6191v1rpkm16.86		93.4639861477	272.918512977	284.90461243	231.50267438	154.578483688	272.742345087	299.951320749	461.05019927	158.318428839	444.004737082	0	0	0	1
Throt752	Locus678v1rpkm139.15		3770.37425459	470.34053128	1330.74361161	1431.17547728	894.983220811	595.470500888	1732.12112783	1431.87315962	804.211729101	1526.42743526	1	0	0	1
Throt7502	Locus6168v1rpkm16.91		165.334788893	12.1004834669	69.4760436431	54.3831713521	51.1768313227	32.2582848212	89.9295393681	32.9136454791	30.7458977745	45.8959600468	1	0	0	0
Throt7475	Locus6146v1rpkm16.94		186.225235557	587.268029128	422.007527452	368.707923204	496.572462289	301.077324998	456.071235367	590.631480684	260.881237086	543.531931341	0	0	0	1
Throt7429	Locus6114v1rpkm17.02		191.847129461	597.921715659	425.309620781	361.224000541	499.716431448	307.616166516	460.81906819	602.812121137	271.435799009	537.859396953	0	0	0	1
Throt741	Locus670v5rpkm5.43_PRE		251.835292819	503.222279831	26.152579166	122.486867587	2.96930420644	6.10291874995	5.58568567503	3.10995075393	11.7017969142	4.12547955477	0	0	1	0
Throt7408	Locus6096v1rpkm17.08		0.319425789978	0.789161965234	1.7170885311	0.498928177543	2.44530934648	1.01715312499	0.558568567503	0.0	3.90059897139	0.515684944346	0	0	1	0
Throt740	Locus670v4rpkm6.59_PRE		704.39775206	1420.62306442	51.1164047336	241.980166108	4.89061869296	10.3168388392	8.37852851255	4.40576356807	23.17414683	7.73527416519	0	0	1	0
Throt74	Locus76v1rpkm3854.19		486.229937505	73.523589761	362.041512596	350.995972901	163.661061261	142.692052677	386.808732996	277.303942225	145.92829093	270.218910837	1	0	1	1
Throt7398	Locus6088v2rpkm5.00		33.7952485797	147.178706516	131.15914703	40.413182381	38.2516247771	86.1674004458	129.029339093	119.473941463	42.9065886853	110.614420562	0	0	0	1
Throt7397	Locus6088v1rpkm17.09		33.7313634217	147.573287499	130.894979563	40.413182381	38.2516247771	86.3127080351	129.029339093	119.473941463	42.9065886853	110.872263034	0	0	0	1
Throt739	Locus670v3rpkm11.35_PRE		473.197365274	1025.77902781	45.4368042077	213.042331811	4.366623833	10.1715312499	8.0992442288	4.40576356807	16.7496308771	6.18821933215	0	0	1	1
Throt738	Locus670v2rpkm38.09		253.176881137	508.877940582	26.5488303655	122.985795764	3.14396915976	6.10291874995	5.58568567503	3.10995075393	11.7017969142	4.12547955477	0	0	1	0
Throt7376	Locus6070v1rpkm17.14		45.6140028089	163.88263478	121.913285708	52.387458642	49.6048467429	63.4994165174	123.722937702	112.994877393	48.6427636432	101.847776508	0	0	0	1
Throt7363	Locus6057v1rpkm17.17		463.997902522	1132.05283913	1649.46165972	866.388780303	764.683165635	1556.53489642	1846.34839988	3063.81981775	954.270066	3176.61925717	0	0	0	1
Throt7354	Locus6048v2rpkm13.71		163.865430259	9.73299757122	44.6443018087	48.3960332216	96.7643841392	31.2411316962	152.768503212	63.7539904556	38.3176487189	61.3665083772	1	0	0	0
Throt7353	Locus6048v1rpkm17.20		239.569342484	11.5743754901	82.8165006924	93.0501051117	138.509307983	48.2421196425	225.940985555	89.1519216127	65.162947522	101.332091564	1	0	0	0
Throt735	Locus668v2rpkm12.48_PRE		0.319425789978	0.263053988411	0.132083733162	0.748392266314	0.17466495332	0.726537946423	0.0	0.259162562827	3.90059897139	0.257842472173	1	0	1	0
Throt7339	Locus6037v1rpkm17.25		112.246222598	516.769560234	421.347108786	138.702033357	124.885441624	258.502201337	399.655810049	437.20724349	119.771333121	339.32069338	0	0	0	1
Throt7308	Locus6016v1rpkm17.32		954.891456561	64.1851731724	366.532359524	317.817249095	406.445346375	195.438707588	556.613577517	192.557784181	235.642067272	234.636649677	1	0	0	0
Throt729	Locus665v1rpkm143.59		817.85779266	81.6782634017	291.905050288	297.111729727	315.444905696	135.717288392	490.981770836	192.039459055	169.561331756	200.859285823	1	0	0	0
Throt728	Locus664v1rpkm143.68		1122.01502988	88.254613112	492.143989761	458.514995162	552.814577258	280.588954909	744.292616198	271.861528406	372.851372265	327.45993966	1	0	0	0
Throt7269	Locus5983v2rpkm6.46		119.081934504	390.109064814	290.055878023	240.233917487	329.418101961	209.24292857	320.897642031	382.005617608	172.085248738	355.306926654	0	0	0	1
Throt723	Locus660v1rpkm145.67		1193.24698104	1579.24461943	1519.49126629	1773.44020708	1115.4103919	3530.24788167	1334.97887633	1321.72907042	2713.4402021	1353.93082138	0	1	0	0
Throt7213	Locus5942v1rpkm17.54		1239.37206512	3513.48059622	2604.82330168	2241.43483761	3001.6172228	1750.52052811	2852.60967424	3766.9278507	1616.68355014	3398.10594077	0	0	0	1
Throt72	Locus74v1rpkm3939.89		26183.7792006	37051.9434297	35158.4443442	40947.7839232	27283.8883632	81729.706669	32094.5120359	32548.2262655	62742.9700308	32081.0182302	1	1	0	1
Throt7127	Locus5871v1rpkm17.76		54.6218100863	194.002316453	172.633439242	114.753480835	183.398200986	68.5851821423	161.147031725	163.531577144	93.384928315	168.113291857	1	0	0	0
Throt71	Locus73v1rpkm4042.24		12744.1946279	18319.21128	17676.8980928	20343.7964393	13621.0717197	40197.1649617	15738.227958	16484.2939712	32353.1739977	16713.3490463	1	1	0	0
Throt7087	Locus5840v1rpkm17.87		1027.01779994	82.9935333438	403.251637343	360.475608275	478.057977237	149.521509374	752.391860427	224.953104534	285.890959903	247.528773286	1	0	0	0
Throt7083	Locus5836v1rpkm17.88		104.643888797	153.22894825	144.763771545	169.885044453	105.148301899	329.557612497	131.822181931	132.691232168	280.384231943	140.524147334	0	1	0	0
Throt703	Locus644v1rpkm152.40		106.560443537	4.6034447972	39.2288687491	66.1079835244	68.9926565614	33.4207455355	29.3248497939	12.4398030157	34.6464967459	6.44606180432	0	0	1	0
Throt70	Locus72v1rpkm4209.72		10.2216252793	0.657634971029	6.60418665809	11.974276261	13.4492014056	6.82945669638	1.95498998626	0.259162562827	6.88340994951	1.54705483304	1	1	1	0
Throt7	Locus7v1rpkm60963.53		10531.5321807	718.926550328	3314.2450325	7248.92749152	7058.38542861	3081.68335355	2054.69447556	908.883107836	5539.53888037	1309.32407369	1	1	1	1
Throt699	Locus640v1rpkm153.89		241.422012066	288.570225287	294.282557484	350.497044724	216.933872023	622.061789727	274.257166644	251.906011068	616.982978474	293.166890861	0	1	1	0
Throt6954	Locus5727v1rpkm18.22		0.127770315991	0.789161965234	0.792502398971	0.498928177543	0.34932990664	1.01715312499	0.279284283752	0.0	3.44170497476	0.257842472173	0	0	1	0
Throt6934	Locus5714v1rpkm18.28		1414.54516834	3925.55466906	2867.14159574	2418.30487655	3335.57661355	1916.31648749	3103.12767677	4248.45189243	1846.35999546	3762.43735395	0	0	0	1
Throt6931	Locus5712v1rpkm18.29		1.4054734759	4.6034447972	3.83042826169	3.24303315403	5.58927850624	3.05145937498	7.81995994505	1.03665025131	6.42451595288	3.86763708259	0	0	1	0
Throt6927	Locus5708v1rpkm18.31		21.0821021386	99.8289886021	84.5335892236	25.4453370547	21.4837892583	51.2935790175	75.9653251805	71.5288673404	27.533639798	67.039042765	0	0	0	1
Throt69	Locus71v1rpkm4375.18		109.307505331	14.9940773395	16.9067178447	21.2044475456	18.3398200986	11.1886843749	9.49566564756	4.92408869372	22.7152528334	8.76664405388	0	1	1	1
