MMETSP_ID	gID	Description
MMETSP0013_2-20120614|14349 	Skcos88	CAMNT_0000281959
MMETSP0013_2-20120614|14352 	Skcos89	CAMNT_0000281965
MMETSP0013_2-20120614|14347 	Skcos90	CAMNT_0000281955
MMETSP0013_2-20120614|14353 	Skcos91	CAMNT_0000281967
MMETSP0013_2-20120614|14348 	Skcos92	CAMNT_0000281957
MMETSP0013_2-20120614|14453 	Skcos93	CAMNT_0000282167
MMETSP0013_2-20120614|14454 	Skcos94	CAMNT_0000282169
MMETSP0013_2-20120614|14456 	Skcos95	CAMNT_0000282173
MMETSP0013_2-20120614|14504 	Skcos96	CAMNT_0000282269
MMETSP0013_2-20120614|14365 	Skcos97	CAMNT_0000281991
MMETSP0013_2-20120614|14368 	Skcos98	CAMNT_0000281997
MMETSP0013_2-20120614|14370 	Skcos99	CAMNT_0000282001
MMETSP0013_2-20120614|14371 	Skcos100	CAMNT_0000282003
MMETSP0013_2-20120614|14372 	Skcos101	CAMNT_0000282005
MMETSP0013_2-20120614|14373 	Skcos102	CAMNT_0000282007
MMETSP0013_2-20120614|14465 	Skcos103	CAMNT_0000282191
MMETSP0013_2-20120614|14467 	Skcos104	CAMNT_0000282195
MMETSP0013_2-20120614|14468 	Skcos105	CAMNT_0000282197
MMETSP0013_2-20120614|14483 	Skcos106	CAMNT_0000282227
MMETSP0013_2-20120614|14487 	Skcos107	CAMNT_0000282235
MMETSP0013_2-20120614|14532 	Skcos108	CAMNT_0000282325
MMETSP0013_2-20120614|14297 	Skcos109	CAMNT_0000281855
MMETSP0013_2-20120614|14298 	Skcos110	CAMNT_0000281857
MMETSP0013_2-20120614|14313 	Skcos111	CAMNT_0000281887
MMETSP0013_2-20120614|14314 	Skcos112	CAMNT_0000281889
MMETSP0013_2-20120614|14315 	Skcos113	CAMNT_0000281891
MMETSP0013_2-20120614|14412 	Skcos114	CAMNT_0000282085
MMETSP0013_2-20120614|14413 	Skcos115	CAMNT_0000282087
MMETSP0013_2-20120614|14415 	Skcos116	CAMNT_0000282091
MMETSP0013_2-20120614|14419 	Skcos117	CAMNT_0000282099
MMETSP0013_2-20120614|14577 	Skcos118	CAMNT_0000282415
MMETSP0013_2-20120614|14579 	Skcos119	CAMNT_0000282419
MMETSP0013_2-20120614|14585 	Skcos120	CAMNT_0000282431
MMETSP0013_2-20120614|14725 	Skcos121	CAMNT_0000282711
MMETSP0013_2-20120614|14730 	Skcos122	CAMNT_0000282721
MMETSP0013_2-20120614|14739 	Skcos123	CAMNT_0000282739
MMETSP0013_2-20120614|14746 	Skcos124	CAMNT_0000282753
MMETSP0013_2-20120614|14753 	Skcos125	CAMNT_0000282767
MMETSP0013_2-20120614|14754 	Skcos126	CAMNT_0000282769
MMETSP0013_2-20120614|14761 	Skcos127	CAMNT_0000282783
MMETSP0013_2-20120614|14764 	Skcos128	CAMNT_0000282789
MMETSP0013_2-20120614|14791 	Skcos129	CAMNT_0000282843
MMETSP0013_2-20120614|14793 	Skcos130	CAMNT_0000282847
MMETSP0013_2-20120614|14875 	Skcos131	CAMNT_0000283011
MMETSP0013_2-20120614|14877 	Skcos132	CAMNT_0000283015
MMETSP0013_2-20120614|14879 	Skcos133	CAMNT_0000283019
MMETSP0013_2-20120614|14881 	Skcos134	CAMNT_0000283023
MMETSP0013_2-20120614|14593 	Skcos135	CAMNT_0000282447
MMETSP0013_2-20120614|14595 	Skcos136	CAMNT_0000282451
MMETSP0013_2-20120614|14817 	Skcos137	CAMNT_0000282895
MMETSP0013_2-20120614|14908 	Skcos138	CAMNT_0000283077
MMETSP0013_2-20120614|14911 	Skcos139	CAMNT_0000283083
MMETSP0013_2-20120614|14913 	Skcos140	CAMNT_0000283087
MMETSP0013_2-20120614|14914 	Skcos141	CAMNT_0000283089
MMETSP0013_2-20120614|14915 	Skcos142	CAMNT_0000283091
MMETSP0013_2-20120614|14916 	Skcos143	CAMNT_0000283093
MMETSP0013_2-20120614|14634 	Skcos144	CAMNT_0000282529
MMETSP0013_2-20120614|14669 	Skcos145	CAMNT_0000282599
MMETSP0013_2-20120614|14670 	Skcos146	CAMNT_0000282601
MMETSP0013_2-20120614|14675 	Skcos147	CAMNT_0000282611
MMETSP0013_2-20120614|14676 	Skcos148	CAMNT_0000282613
MMETSP0013_2-20120614|14677 	Skcos149	CAMNT_0000282615
MMETSP0013_2-20120614|14771 	Skcos150	CAMNT_0000282803
MMETSP0013_2-20120614|14772 	Skcos151	CAMNT_0000282805
MMETSP0013_2-20120614|14773 	Skcos152	CAMNT_0000282807
MMETSP0013_2-20120614|14774 	Skcos153	CAMNT_0000282809
MMETSP0013_2-20120614|14775 	Skcos154	CAMNT_0000282811
MMETSP0013_2-20120614|14994 	Skcos155	CAMNT_0000283249
MMETSP0013_2-20120614|14995 	Skcos156	CAMNT_0000283251
MMETSP0013_2-20120614|14993 	Skcos157	CAMNT_0000283247
MMETSP0013_2-20120614|15043 	Skcos158	CAMNT_0000283347
MMETSP0013_2-20120614|15044 	Skcos159	CAMNT_0000283349
MMETSP0013_2-20120614|15048 	Skcos160	CAMNT_0000283357
MMETSP0013_2-20120614|15256 	Skcos161	CAMNT_0000283773
MMETSP0013_2-20120614|15259 	Skcos162	CAMNT_0000283779
MMETSP0013_2-20120614|15275 	Skcos163	CAMNT_0000283811
MMETSP0013_2-20120614|15277 	Skcos164	CAMNT_0000283815
MMETSP0013_2-20120614|15282 	Skcos165	CAMNT_0000283825
MMETSP0013_2-20120614|15288 	Skcos166	CAMNT_0000283837
MMETSP0013_2-20120614|15291 	Skcos167	CAMNT_0000283843
MMETSP0013_2-20120614|15301 	Skcos168	CAMNT_0000283863
MMETSP0013_2-20120614|15077 	Skcos169	CAMNT_0000283415
MMETSP0013_2-20120614|15078 	Skcos170	CAMNT_0000283417
MMETSP0013_2-20120614|15287 	Skcos171	CAMNT_0000283835
MMETSP0013_2-20120614|15290 	Skcos172	CAMNT_0000283841
MMETSP0013_2-20120614|15292 	Skcos173	CAMNT_0000283845
MMETSP0013_2-20120614|15377 	Skcos174	CAMNT_0000284015
MMETSP0013_2-20120614|15378 	Skcos175	CAMNT_0000284017
MMETSP0013_2-20120614|15379 	Skcos176	CAMNT_0000284019
MMETSP0013_2-20120614|15383 	Skcos177	CAMNT_0000284027
MMETSP0013_2-20120614|15384 	Skcos178	CAMNT_0000284029
MMETSP0013_2-20120614|15467 	Skcos179	CAMNT_0000284195
MMETSP0013_2-20120614|15575 	Skcos180	CAMNT_0000284411
MMETSP0013_2-20120614|15578 	Skcos181	CAMNT_0000284417
MMETSP0013_2-20120614|15579 	Skcos182	CAMNT_0000284419
MMETSP0013_2-20120614|15581 	Skcos183	CAMNT_0000284423
MMETSP0013_2-20120614|15583 	Skcos184	CAMNT_0000284427
MMETSP0013_2-20120614|15587 	Skcos185	CAMNT_0000284435
MMETSP0013_2-20120614|15598 	Skcos186	CAMNT_0000284457
MMETSP0013_2-20120614|15604 	Skcos187	CAMNT_0000284469
MMETSP0013_2-20120614|15605 	Skcos188	CAMNT_0000284471
MMETSP0013_2-20120614|15606 	Skcos189	CAMNT_0000284473
MMETSP0013_2-20120614|15242 	Skcos190	CAMNT_0000283745
MMETSP0013_2-20120614|15772 	Skcos191	CAMNT_0000284805
MMETSP0013_2-20120614|15857 	Skcos192	CAMNT_0000284975
MMETSP0013_2-20120614|15859 	Skcos193	CAMNT_0000284979
MMETSP0013_2-20120614|15861 	Skcos194	CAMNT_0000284983
MMETSP0013_2-20120614|15862 	Skcos195	CAMNT_0000284985
MMETSP0013_2-20120614|15866 	Skcos196	CAMNT_0000284993
MMETSP0013_2-20120614|15599 	Skcos197	CAMNT_0000284459
MMETSP0013_2-20120614|15600 	Skcos198	CAMNT_0000284461
MMETSP0013_2-20120614|15601 	Skcos199	CAMNT_0000284463
MMETSP0013_2-20120614|15602 	Skcos200	CAMNT_0000284465
MMETSP0013_2-20120614|15688 	Skcos201	CAMNT_0000284637
MMETSP0013_2-20120614|15689 	Skcos202	CAMNT_0000284639
MMETSP0013_2-20120614|15691 	Skcos203	CAMNT_0000284643
MMETSP0013_2-20120614|15775 	Skcos204	CAMNT_0000284811
MMETSP0013_2-20120614|15777 	Skcos205	CAMNT_0000284815
MMETSP0013_2-20120614|15779 	Skcos206	CAMNT_0000284819
MMETSP0013_2-20120614|15868 	Skcos207	CAMNT_0000284997
MMETSP0013_2-20120614|15695 	Skcos208	CAMNT_0000284651
MMETSP0013_2-20120614|15698 	Skcos209	CAMNT_0000284657
MMETSP0013_2-20120614|15700 	Skcos210	CAMNT_0000284661
MMETSP0013_2-20120614|15782 	Skcos211	CAMNT_0000284825
MMETSP0013_2-20120614|15783 	Skcos212	CAMNT_0000284827
MMETSP0013_2-20120614|15784 	Skcos213	CAMNT_0000284829
MMETSP0013_2-20120614|15785 	Skcos214	CAMNT_0000284831
MMETSP0013_2-20120614|15872 	Skcos215	CAMNT_0000285005
MMETSP0013_2-20120614|15884 	Skcos216	CAMNT_0000285029
MMETSP0013_2-20120614|15886 	Skcos217	CAMNT_0000285033
MMETSP0013_2-20120614|15710 	Skcos218	CAMNT_0000284681
MMETSP0013_2-20120614|15711 	Skcos219	CAMNT_0000284683
MMETSP0013_2-20120614|15714 	Skcos220	CAMNT_0000284689
MMETSP0013_2-20120614|15632 	Skcos221	CAMNT_0000284525
MMETSP0013_2-20120614|15633 	Skcos222	CAMNT_0000284527
MMETSP0013_2-20120614|15723 	Skcos223	CAMNT_0000284707
MMETSP0013_2-20120614|15725 	Skcos224	CAMNT_0000284711
MMETSP0013_2-20120614|15726 	Skcos225	CAMNT_0000284713
MMETSP0013_2-20120614|15806 	Skcos226	CAMNT_0000284873
MMETSP0013_2-20120614|7323 	Skcos227	CAMNT_0000267907
MMETSP0013_2-20120614|7326 	Skcos228	CAMNT_0000267913
MMETSP0013_2-20120614|7327 	Skcos229	CAMNT_0000267915
MMETSP0013_2-20120614|7404 	Skcos230	CAMNT_0000268069
MMETSP0013_2-20120614|7198 	Skcos231	CAMNT_0000267657
MMETSP0013_2-20120614|7299 	Skcos232	CAMNT_0000267859
MMETSP0013_2-20120614|7296 	Skcos233	CAMNT_0000267853
MMETSP0013_2-20120614|7300 	Skcos234	CAMNT_0000267861
MMETSP0013_2-20120614|7373 	Skcos235	CAMNT_0000268007
MMETSP0013_2-20120614|7176 	Skcos236	CAMNT_0000267613
MMETSP0013_2-20120614|7177 	Skcos237	CAMNT_0000267615
MMETSP0013_2-20120614|7523 	Skcos238	CAMNT_0000268307
MMETSP0013_2-20120614|7628 	Skcos239	CAMNT_0000268517
MMETSP0013_2-20120614|7452 	Skcos240	CAMNT_0000268165
MMETSP0013_2-20120614|7773 	Skcos241	CAMNT_0000268807
MMETSP0013_2-20120614|7767 	Skcos242	CAMNT_0000268795
MMETSP0013_2-20120614|7768 	Skcos243	CAMNT_0000268797
MMETSP0013_2-20120614|7772 	Skcos244	CAMNT_0000268805
MMETSP0013_2-20120614|7782 	Skcos245	CAMNT_0000268825
MMETSP0013_2-20120614|7783 	Skcos246	CAMNT_0000268827
MMETSP0013_2-20120614|7790 	Skcos247	CAMNT_0000268841
MMETSP0013_2-20120614|7795 	Skcos248	CAMNT_0000268851
MMETSP0013_2-20120614|8045 	Skcos249	CAMNT_0000269351
MMETSP0013_2-20120614|8047 	Skcos250	CAMNT_0000269355
MMETSP0013_2-20120614|8052 	Skcos251	CAMNT_0000269365
MMETSP0013_2-20120614|7816 	Skcos252	CAMNT_0000268893
MMETSP0013_2-20120614|7817 	Skcos253	CAMNT_0000268895
MMETSP0013_2-20120614|7818 	Skcos254	CAMNT_0000268897
MMETSP0013_2-20120614|8223 	Skcos255	CAMNT_0000269707
MMETSP0013_2-20120614|8224 	Skcos256	CAMNT_0000269709
MMETSP0013_2-20120614|8232 	Skcos257	CAMNT_0000269725
MMETSP0013_2-20120614|8169 	Skcos258	CAMNT_0000269599
MMETSP0013_2-20120614|8170 	Skcos259	CAMNT_0000269601
MMETSP0013_2-20120614|8171 	Skcos260	CAMNT_0000269603
MMETSP0013_2-20120614|8177 	Skcos261	CAMNT_0000269615
MMETSP0013_2-20120614|8255 	Skcos262	CAMNT_0000269771
MMETSP0013_2-20120614|8309 	Skcos263	CAMNT_0000269879
MMETSP0013_2-20120614|8310 	Skcos264	CAMNT_0000269881
MMETSP0013_2-20120614|8311 	Skcos265	CAMNT_0000269883
MMETSP0013_2-20120614|8149 	Skcos266	CAMNT_0000269559
MMETSP0013_2-20120614|8525 	Skcos267	CAMNT_0000270311
MMETSP0013_2-20120614|8513 	Skcos268	CAMNT_0000270287
MMETSP0013_2-20120614|8515 	Skcos269	CAMNT_0000270291
MMETSP0013_2-20120614|8522 	Skcos270	CAMNT_0000270305
MMETSP0013_2-20120614|8530 	Skcos271	CAMNT_0000270321
MMETSP0013_2-20120614|8837 	Skcos272	CAMNT_0000270935
MMETSP0013_2-20120614|8838 	Skcos273	CAMNT_0000270937
MMETSP0013_2-20120614|8843 	Skcos274	CAMNT_0000270947
MMETSP0013_2-20120614|8852 	Skcos275	CAMNT_0000270965
MMETSP0013_2-20120614|8520 	Skcos276	CAMNT_0000270301
MMETSP0013_2-20120614|8521 	Skcos277	CAMNT_0000270303
MMETSP0013_2-20120614|8597 	Skcos278	CAMNT_0000270455
MMETSP0013_2-20120614|8598 	Skcos279	CAMNT_0000270457
MMETSP0013_2-20120614|8599 	Skcos280	CAMNT_0000270459
MMETSP0013_2-20120614|8601 	Skcos281	CAMNT_0000270463
MMETSP0013_2-20120614|8413 	Skcos282	CAMNT_0000270087
MMETSP0013_2-20120614|8777 	Skcos283	CAMNT_0000270815
MMETSP0013_2-20120614|8778 	Skcos284	CAMNT_0000270817
MMETSP0013_2-20120614|8779 	Skcos285	CAMNT_0000270819
MMETSP0013_2-20120614|8781 	Skcos286	CAMNT_0000270823
MMETSP0013_2-20120614|8860 	Skcos287	CAMNT_0000270981
MMETSP0013_2-20120614|8863 	Skcos288	CAMNT_0000270987
MMETSP0013_2-20120614|8864 	Skcos289	CAMNT_0000270989
MMETSP0013_2-20120614|8865 	Skcos290	CAMNT_0000270991
MMETSP0013_2-20120614|8929 	Skcos291	CAMNT_0000271119
MMETSP0013_2-20120614|8976 	Skcos292	CAMNT_0000271213
MMETSP0013_2-20120614|8977 	Skcos293	CAMNT_0000271215
MMETSP0013_2-20120614|8978 	Skcos294	CAMNT_0000271217
MMETSP0013_2-20120614|8979 	Skcos295	CAMNT_0000271219
MMETSP0013_2-20120614|9006 	Skcos296	CAMNT_0000271273
MMETSP0013_2-20120614|9008 	Skcos297	CAMNT_0000271277
MMETSP0013_2-20120614|9013 	Skcos298	CAMNT_0000271287
MMETSP0013_2-20120614|9154 	Skcos299	CAMNT_0000271569
MMETSP0013_2-20120614|9165 	Skcos300	CAMNT_0000271591
MMETSP0013_2-20120614|9169 	Skcos301	CAMNT_0000271599
MMETSP0013_2-20120614|9040 	Skcos302	CAMNT_0000271341
MMETSP0013_2-20120614|9041 	Skcos303	CAMNT_0000271343
MMETSP0013_2-20120614|9042 	Skcos304	CAMNT_0000271345
MMETSP0013_2-20120614|9043 	Skcos305	CAMNT_0000271347
MMETSP0013_2-20120614|9118 	Skcos306	CAMNT_0000271497
MMETSP0013_2-20120614|9368 	Skcos307	CAMNT_0000271997
MMETSP0013_2-20120614|9364 	Skcos308	CAMNT_0000271989
MMETSP0013_2-20120614|9365 	Skcos309	CAMNT_0000271991
MMETSP0013_2-20120614|9439 	Skcos310	CAMNT_0000272139
MMETSP0013_2-20120614|9440 	Skcos311	CAMNT_0000272141
MMETSP0013_2-20120614|9207 	Skcos312	CAMNT_0000271675
MMETSP0013_2-20120614|9208 	Skcos313	CAMNT_0000271677
MMETSP0013_2-20120614|9209 	Skcos314	CAMNT_0000271679
MMETSP0013_2-20120614|9332 	Skcos315	CAMNT_0000271925
MMETSP0013_2-20120614|9333 	Skcos316	CAMNT_0000271927
MMETSP0013_2-20120614|9334 	Skcos317	CAMNT_0000271929
MMETSP0013_2-20120614|9417 	Skcos318	CAMNT_0000272095
MMETSP0013_2-20120614|9418 	Skcos319	CAMNT_0000272097
MMETSP0013_2-20120614|9419 	Skcos320	CAMNT_0000272099
MMETSP0013_2-20120614|9420 	Skcos321	CAMNT_0000272101
MMETSP0013_2-20120614|9182 	Skcos322	CAMNT_0000271625
MMETSP0013_2-20120614|9183 	Skcos323	CAMNT_0000271627
MMETSP0013_2-20120614|9721 	Skcos324	CAMNT_0000272703
MMETSP0013_2-20120614|9719 	Skcos325	CAMNT_0000272699
MMETSP0013_2-20120614|9681 	Skcos326	CAMNT_0000272623
MMETSP0013_2-20120614|9684 	Skcos327	CAMNT_0000272629
MMETSP0013_2-20120614|9695 	Skcos328	CAMNT_0000272651
MMETSP0013_2-20120614|9698 	Skcos329	CAMNT_0000272657
MMETSP0013_2-20120614|9713 	Skcos330	CAMNT_0000272687
MMETSP0013_2-20120614|9510 	Skcos331	CAMNT_0000272281
MMETSP0013_2-20120614|9511 	Skcos332	CAMNT_0000272283
MMETSP0013_2-20120614|9513 	Skcos333	CAMNT_0000272287
MMETSP0013_2-20120614|9514 	Skcos334	CAMNT_0000272289
MMETSP0013_2-20120614|9516 	Skcos335	CAMNT_0000272293
MMETSP0013_2-20120614|9589 	Skcos336	CAMNT_0000272439
MMETSP0013_2-20120614|9590 	Skcos337	CAMNT_0000272441
MMETSP0013_2-20120614|9591 	Skcos338	CAMNT_0000272443
MMETSP0013_2-20120614|9593 	Skcos339	CAMNT_0000272447
MMETSP0013_2-20120614|9683 	Skcos340	CAMNT_0000272627
MMETSP0013_2-20120614|9936 	Skcos341	CAMNT_0000273133
MMETSP0013_2-20120614|10182 	Skcos342	CAMNT_0000273625
MMETSP0013_2-20120614|10186 	Skcos343	CAMNT_0000273633
MMETSP0013_2-20120614|10193 	Skcos344	CAMNT_0000273647
MMETSP0013_2-20120614|10197 	Skcos345	CAMNT_0000273655
MMETSP0013_2-20120614|10210 	Skcos346	CAMNT_0000273681
MMETSP0013_2-20120614|10212 	Skcos347	CAMNT_0000273685
MMETSP0013_2-20120614|10224 	Skcos348	CAMNT_0000273709
MMETSP0013_2-20120614|10242 	Skcos349	CAMNT_0000273745
MMETSP0013_2-20120614|9964 	Skcos350	CAMNT_0000273189
MMETSP0013_2-20120614|9966 	Skcos351	CAMNT_0000273193
MMETSP0013_2-20120614|9968 	Skcos352	CAMNT_0000273197
MMETSP0013_2-20120614|10017 	Skcos353	CAMNT_0000273295
MMETSP0013_2-20120614|10019 	Skcos354	CAMNT_0000273299
MMETSP0013_2-20120614|10020 	Skcos355	CAMNT_0000273301
MMETSP0013_2-20120614|9928 	Skcos356	CAMNT_0000273117
MMETSP0013_2-20120614|10185 	Skcos357	CAMNT_0000273631
MMETSP0013_2-20120614|10187 	Skcos358	CAMNT_0000273635
MMETSP0013_2-20120614|10188 	Skcos359	CAMNT_0000273637
MMETSP0013_2-20120614|10246 	Skcos360	CAMNT_0000273753
MMETSP0013_2-20120614|10247 	Skcos361	CAMNT_0000273755
MMETSP0013_2-20120614|10248 	Skcos362	CAMNT_0000273757
MMETSP0013_2-20120614|10226 	Skcos363	CAMNT_0000273713
MMETSP0013_2-20120614|10223 	Skcos364	CAMNT_0000273707
MMETSP0013_2-20120614|10227 	Skcos365	CAMNT_0000273715
MMETSP0013_2-20120614|10294 	Skcos366	CAMNT_0000273849
MMETSP0013_2-20120614|10295 	Skcos367	CAMNT_0000273851
MMETSP0013_2-20120614|10292 	Skcos368	CAMNT_0000273845
MMETSP0013_2-20120614|10296 	Skcos369	CAMNT_0000273853
MMETSP0013_2-20120614|10649 	Skcos370	CAMNT_0000274559
MMETSP0013_2-20120614|10655 	Skcos371	CAMNT_0000274571
MMETSP0013_2-20120614|10656 	Skcos372	CAMNT_0000274573
MMETSP0013_2-20120614|10663 	Skcos373	CAMNT_0000274587
MMETSP0013_2-20120614|10668 	Skcos374	CAMNT_0000274597
MMETSP0013_2-20120614|10680 	Skcos375	CAMNT_0000274621
MMETSP0013_2-20120614|10683 	Skcos376	CAMNT_0000274627
MMETSP0013_2-20120614|10687 	Skcos377	CAMNT_0000274635
MMETSP0013_2-20120614|10551 	Skcos378	CAMNT_0000274363
MMETSP0013_2-20120614|10576 	Skcos379	CAMNT_0000274413
MMETSP0013_2-20120614|10371 	Skcos380	CAMNT_0000274003
MMETSP0013_2-20120614|10372 	Skcos381	CAMNT_0000274005
MMETSP0013_2-20120614|10374 	Skcos382	CAMNT_0000274009
MMETSP0013_2-20120614|10447 	Skcos383	CAMNT_0000274155
MMETSP0013_2-20120614|10448 	Skcos384	CAMNT_0000274157
MMETSP0013_2-20120614|10622 	Skcos385	CAMNT_0000274505
MMETSP0013_2-20120614|10623 	Skcos386	CAMNT_0000274507
MMETSP0013_2-20120614|10682 	Skcos387	CAMNT_0000274625
MMETSP0013_2-20120614|10684 	Skcos388	CAMNT_0000274629
MMETSP0013_2-20120614|10785 	Skcos389	CAMNT_0000274831
MMETSP0013_2-20120614|10787 	Skcos390	CAMNT_0000274835
MMETSP0013_2-20120614|10791 	Skcos391	CAMNT_0000274843
MMETSP0013_2-20120614|10792 	Skcos392	CAMNT_0000274845
MMETSP0013_2-20120614|10845 	Skcos393	CAMNT_0000274951
MMETSP0013_2-20120614|10846 	Skcos394	CAMNT_0000274953
MMETSP0013_2-20120614|10847 	Skcos395	CAMNT_0000274955
MMETSP0013_2-20120614|10592 	Skcos396	CAMNT_0000274445
MMETSP0013_2-20120614|10595 	Skcos397	CAMNT_0000274451
MMETSP0013_2-20120614|10597 	Skcos398	CAMNT_0000274455
MMETSP0013_2-20120614|10666 	Skcos399	CAMNT_0000274593
