	KEGG
Skcos2315	K00604
Skcos2318	K00022
Skcos2322	K10257
Skcos2327	K00856
Skcos2334	K02998
Skcos2335	K03522
Skcos2347	K03113
Skcos2356	K00225
Skcos2358	K13238
Skcos2369	K03007
Skcos2370	K12403
Skcos2374	K06118
Skcos2381	K10808
Skcos2384	K12183
Skcos2388	K08057
Skcos2391	K08907
Skcos2396	K01834
Skcos2399	K01493
Skcos2400	K02977
Skcos2406	K00289
Skcos2428	K11135
Skcos2429	K12197
Skcos2437	K03364
Skcos2447	K03963
Skcos2449	K12160
Skcos2450	K11434
Skcos2451	K01379
Skcos2469	K12244
Skcos2472	K09578
Skcos2481	K05928
Skcos2502	K11094
Skcos2505	K02260
Skcos2506	K12581
Skcos2510	K07897
Skcos2513	K04507
Skcos2516	K09420
Skcos2518	K17601
Skcos2525	K00859
Skcos2546	K15272
Skcos2550	K15732
Skcos2553	K11434
Skcos2554	K14815
Skcos2571	K06889
Skcos2578	K00927
Skcos2598	K17500
Skcos2599	K01952
Skcos2602	K09611
Skcos2605	K02873
Skcos2614	K14589
Skcos2620	K00967
Skcos2622	K11793
Skcos2629	K09925
Skcos2630	K03031
Skcos2637	K14408
Skcos2652	K00972
Skcos2655	K12736
Skcos2656	K05955
Skcos2657	K08311
Skcos2668	K01303
Skcos2672	K02997
Skcos2676	K02716
Skcos2685	K11308
Skcos2693	K17794
Skcos2699	K02955
Skcos2704	K02942
Skcos2713	K14566
Skcos2714	K02978
Skcos2722	K11808
Skcos2728	K03006
Skcos2730	K08770
Skcos2736	K00817
Skcos2743	K03246
Skcos2751	K03456
Skcos2754	K08902
Skcos2755	K01889
Skcos2756	K13238
Skcos2758	K02929
Skcos2763	K12191
Skcos2765	K03264
Skcos2766	K07342
Skcos2771	K00284
Skcos2779	K00721
Skcos2783	K09539
Skcos2784	K14840
Skcos2786	K03969
Skcos2789	K08568
Skcos2792	K17768
Skcos2793	K03885
Skcos2821	K12813
Skcos2823	K03011
Skcos2841	K00895
Skcos2843	K04798
Skcos2851	K03921
Skcos2868	K14545
Skcos2871	K13783
Skcos2874	K03009
Skcos2876	K02518
Skcos2888	K03911
Skcos2891	K14800
Skcos2894	K07562
Skcos2904	K14007
Skcos2937	K15102
Skcos2942	K08681
Skcos2943	K01586
Skcos2944	K03940
Skcos2945	K17686
Skcos2950	K03097
Skcos2952	K03676
Skcos2955	K00940
Skcos2965	K05527
Skcos2972	K01517
Skcos2977	K13628
Skcos2981	K15277
Skcos2990	K12606
Skcos2991	K08568
Skcos2993	K12619
Skcos3006	K17255
Skcos3020	K00658
Skcos3023	K14683
Skcos3027	K14809
Skcos3041	K05917
Skcos3044	K12195
Skcos3053	K08515
Skcos3054	K06961
Skcos3059	K02641
Skcos3066	K02921
Skcos3068	K12857
Skcos3105	K12393
Skcos3110	K03152
Skcos3111	K12373
Skcos3117	K01358
Skcos3118	K02641
Skcos3119	K15263
Skcos3125	K10579
Skcos3134	K14309
Skcos3136	K14824
Skcos3137	K03687
Skcos3139	K14769
Skcos3141	K02942
Skcos3149	K01899
Skcos3150	K11097
Skcos3152	K14015
Skcos3154	K03783
Skcos3156	K07178
Skcos3168	K03671
Skcos3169	K02728
Skcos3174	K11088
Skcos3187	K00819
Skcos3191	K12396
Skcos3192	K01101
Skcos3193	K14298
Skcos3195	K06063
Skcos3210	K02726
Skcos3222	K03012
Skcos3224	K12381
Skcos3226	K03773
Skcos3227	K08794
Skcos3230	K14863
Skcos3235	K01966
Skcos3250	K03113
Skcos3253	K11279
Skcos3256	K02929
Skcos3259	K03667
Skcos3262	K07507
Skcos3291	K12524
Skcos3292	K17086
Skcos3297	K14538
Skcos3300	K14549
Skcos3303	K01437
Skcos3305	K08735
Skcos3306	K14565
Skcos3326	K07753
Skcos3333	K02209
Skcos3344	K01507
Skcos3352	K11098
Skcos3355	K07179
Skcos3359	K15276
Skcos3362	K03595
Skcos3371	K12402
Skcos3373	K08486
Skcos3385	K00670
Skcos3396	K03704
Skcos3411	K03217
Skcos3422	K01783
Skcos3423	K07195
Skcos3436	K08342
Skcos3439	K10704
Skcos3440	K09966
Skcos3443	K12867
Skcos3450	K01243
Skcos3469	K03364
Skcos3470	K01090
Skcos3472	K17732
Skcos3474	K16911
Skcos3477	K14832
Skcos3483	K11108
Skcos3493	K02155
Skcos3499	K02728
Skcos3501	K10742
Skcos3502	K10733
Skcos3504	K06942
Skcos3513	K00472
Skcos3516	K16365
Skcos3521	K13347
Skcos3531	K01175
Skcos3538	K10873
Skcos3539	K12830
Skcos3545	K02725
Skcos3547	K06672
Skcos3554	K12618
Skcos3555	K02923
Skcos3562	K03531
Skcos3567	K09490
Skcos3585	K02937
Skcos3586	K03131
Skcos3591	K02719
Skcos3593	K00645
Skcos3598	K01495
Skcos3602	K02996
Skcos3604	K01734
Skcos3607	K02943
Skcos3608	K11644
Skcos3620	K15449
Skcos3623	K06133
Skcos3625	K04563
Skcos3629	K14319
Skcos3631	K07573
Skcos3632	K01814
Skcos3648	K12832
Skcos3653	K13100
Skcos3654	K13095
Skcos3658	K00648
Skcos3661	K07874
Skcos3664	K00021
Skcos3670	K00006
Skcos3671	K11088
Skcos3691	K17795
Skcos3700	K14521
Skcos3709	K17616
Skcos3713	K15452
Skcos3726	K01886
Skcos3731	K13237
Skcos3736	K00289
Skcos3741	K03251
Skcos3746	K14544
Skcos3748	K06171
Skcos3750	K03283
Skcos3752	K09843
Skcos3760	K01869
Skcos3761	K04498
Skcos3763	K00486
Skcos3765	K03665
Skcos3766	K03248
Skcos3768	K11275
Skcos3769	K01807
Skcos3773	K14962
Skcos3777	K12848
Skcos3780	K17969
Skcos3784	K13116
Skcos3786	K12275
Skcos3791	K15014
Skcos3801	K18192
Skcos3806	K01892
Skcos3809	K12946
Skcos3823	K09565
Skcos3835	K01507
Skcos3847	K02703
Skcos3850	K08869
Skcos3854	K14004
Skcos3860	K10862
Skcos3871	K06620
Skcos3873	K02871
Skcos3877	K05389
Skcos3884	K14964
Skcos3892	K17497
Skcos3921	K02971
Skcos3943	K14050
Skcos3953	K00773
Skcos3958	K08596
Skcos3989	K03217
Skcos3994	K02969
Skcos3997	K15172
Skcos4001	K01711
Skcos4015	K03846
Skcos4017	K14791
Skcos4031	K00640
Skcos4061	K00454
Skcos4067	K01012
Skcos4076	K03678
Skcos4078	K10365
Skcos4080	K04345
Skcos4083	K08956
Skcos4084	K11262
Skcos4089	K00940
Skcos4114	K07023
Skcos4115	K08343
Skcos4129	K02326
Skcos4132	K13120
Skcos4133	K14842
Skcos4135	K01887
Skcos4137	K02372
Skcos4164	K14805
Skcos4173	K17662
Skcos4177	K01834
Skcos4185	K14820
Skcos4188	K14416
Skcos4196	K13171
Skcos4201	K03125
Skcos4208	K03238
Skcos4212	K14810
Skcos4225	K10047
Skcos4240	K11754
Skcos4248	K00784
Skcos4249	K03681
Skcos4258	K00891
Skcos4259	K00873
Skcos4275	K12418
Skcos4283	K02918
Skcos4284	K12873
Skcos4300	K06944
Skcos4310	K00441
Skcos4315	K01011
Skcos4337	K11839
Skcos4339	K03453
Skcos4340	K04607
Skcos4342	K05290
Skcos4343	K03240
Skcos4349	K00232
Skcos4363	K15687
Skcos4364	K01893
Skcos4366	K08876
Skcos4368	K06100
Skcos4395	K00599
Skcos4398	K02480
Skcos4403	K00208
Skcos4407	K00134
Skcos4410	K05289
Skcos4429	K13121
Skcos4434	K04505
Skcos4436	K11145
Skcos4455	K09415
Skcos4464	K02993
Skcos4469	K02987
Skcos4472	K15634
Skcos4480	K06158
Skcos4481	K14347
Skcos4493	K00423
Skcos4495	K09568
Skcos4496	K02132
Skcos4508	K00606
Skcos4534	K13348
Skcos4535	K11251
Skcos4540	K12847
Skcos4547	K02136
Skcos4548	K03715
Skcos4550	K11806
Skcos4555	K00671
Skcos4569	K00784
Skcos4576	K04078
Skcos4594	K08065
Skcos4609	K14785
Skcos4612	K11087
Skcos4617	K03139
Skcos4638	K09522
Skcos4655	K08790
Skcos4656	K06130
Skcos4668	K01647
Skcos4671	K01885
Skcos4678	K10206
Skcos4698	K01783
Skcos4706	K08994
Skcos4707	K02838
Skcos4709	K00451
Skcos4710	K02876
Skcos4716	K15040
Skcos4719	K03885
Skcos4723	K08794
Skcos4724	K15382
Skcos4729	K14569
Skcos4731	K00627
Skcos4732	K07560
Skcos4739	K00459
Skcos4764	K14455
Skcos4768	K01784
Skcos4769	K02259
Skcos4779	K02056
Skcos4788	K06287
Skcos4813	K03163
Skcos4814	K15181
Skcos4818	K08959
Skcos4824	K03453
Skcos4843	K16671
Skcos4866	K02324
Skcos4877	K13119
Skcos4884	K08916
Skcos4891	K15664
Skcos4901	K02575
Skcos4911	K14572
Skcos4921	K12840
Skcos4925	K04802
Skcos4934	K12857
Skcos4935	K02893
Skcos4953	K06630
Skcos4962	K02989
Skcos4963	K00655
Skcos4966	K11253
Skcos4967	K09523
Skcos4969	K14823
Skcos4970	K02714
Skcos4976	K12604
Skcos4977	K14772
Skcos4979	K03671
Skcos4984	K12587
Skcos4988	K03695
Skcos5004	K03801
Skcos5007	K14617
Skcos5024	K14399
Skcos5032	K12624
Skcos5048	K11251
Skcos5053	K03664
Skcos5057	K11096
Skcos5061	K01807
Skcos5062	K13210
Skcos5073	K06027
Skcos5082	K17900
Skcos5108	K14327
Skcos5112	K09291
Skcos5115	K12403
Skcos5120	K13094
Skcos5123	K15507
Skcos5127	K12625
Skcos5139	K09660
Skcos5142	K00789
Skcos5145	K01590
Skcos5147	K01897
Skcos5148	K08360
Skcos5149	K00121
Skcos5165	K01689
Skcos5166	K08679
Skcos5169	K13830
Skcos5185	K12812
Skcos5188	K12198
Skcos5218	K02358
Skcos5219	K14771
Skcos5220	K07874
Skcos5244	K14806
Skcos5250	K01069
Skcos5251	K03258
Skcos5301	K03008
Skcos5313	K10807
Skcos5326	K14859
Skcos5339	K10956
Skcos5370	K14005
Skcos5383	K03509
Skcos5387	K14570
Skcos5390	K07300
Skcos5400	K00930
Skcos5409	K15430
Skcos5418	K00873
Skcos5422	K02960
Skcos5435	K14554
Skcos5446	K04482
Skcos5448	K16465
Skcos5451	K07390
Skcos5452	K02736
Skcos5459	K17780
Skcos5461	K11128
Skcos5462	K03242
Skcos5463	K04078
Skcos5471	K07374
Skcos5472	K17427
Skcos5477	K01358
Skcos5479	K02291
Skcos5491	K03141
Skcos5493	K09540
Skcos5495	K07151
Skcos5496	K00384
Skcos5515	K00944
Skcos5517	K06685
Skcos5519	K03063
Skcos5536	K02480
Skcos5542	K01265
Skcos5546	K09966
Skcos5549	K02943
Skcos5558	K01735
Skcos5559	K12598
Skcos5571	K11416
Skcos5579	K12606
Skcos5588	K13338
Skcos5597	K14455
Skcos5599	K18041
Skcos5605	K01649
Skcos5624	K09657
Skcos5634	K12180
Skcos5641	K01624
Skcos5644	K00166
Skcos5659	K01581
Skcos5672	K08596
Skcos5685	K03107
Skcos5686	K01920
Skcos5698	K15176
Skcos5713	K01828
Skcos5722	K11835
Skcos5724	K02355
Skcos5725	K03178
Skcos5727	K00939
Skcos5729	K08592
Skcos5741	K04082
Skcos5752	K01950
Skcos5763	K03773
Skcos5766	K09650
Skcos5767	K01703
Skcos5769	K15275
Skcos5773	K17491
Skcos5778	K05544
Skcos5779	K00627
Skcos5780	K12580
Skcos5781	K12795
Skcos5786	K14838
Skcos5797	K00972
Skcos5806	K10844
Skcos5814	K17584
Skcos5834	K14556
Skcos5835	K09531
Skcos5837	K00873
Skcos5843	K02480
Skcos5854	K03039
Skcos5857	K04079
Skcos5862	K01581
Skcos5866	K02863
Skcos5869	K11252
Skcos5870	K12856
Skcos5876	K11092
Skcos5878	K07893
Skcos5884	K14861
Skcos5887	K12618
Skcos5890	K02979
Skcos5899	K00559
Skcos5913	K14794
Skcos5920	K02885
Skcos5922	K17790
Skcos5930	K03094
Skcos5938	K14837
Skcos5940	K07901
Skcos5943	K01876
Skcos5948	K02908
Skcos5951	K13076
Skcos5952	K10573
Skcos5969	K07904
Skcos5972	K00162
Skcos5974	K02876
Skcos5982	K01734
Skcos5984	K01437
Skcos5986	K05034
Skcos5997	K00861
Skcos5999	K01265
Skcos6004	K03514
Skcos6005	K02541
Skcos6006	K00801
Skcos6007	K17583
Skcos6008	K06997
Skcos6024	K16536
Skcos6035	K03932
Skcos6043	K03885
Skcos6045	K13525
Skcos6048	K00942
Skcos6061	K06185
Skcos6066	K14396
Skcos6070	K09494
Skcos6073	K00670
Skcos6083	K12843
Skcos6092	K03254
Skcos6094	K08678
Skcos6101	K04797
Skcos6104	K08818
Skcos6126	K14846
Skcos6127	K02896
Skcos6133	K02155
Skcos6138	K01312
Skcos6154	K01599
Skcos6157	K01736
Skcos6159	K12620
Skcos6160	K12573
Skcos6185	K12373
Skcos6187	K18156
Skcos6188	K03671
Skcos6194	K01802
Skcos6198	K04077
Skcos6202	K00357
Skcos6204	K12898
Skcos6224	K11251
Skcos6231	K13347
Skcos6235	K01951
Skcos6241	K07240
Skcos6267	K02469
Skcos6268	K09838
Skcos6271	K10756
Skcos6273	K13289
Skcos6275	K02912
Skcos6276	K12626
Skcos6277	K02639
Skcos6278	K00134
Skcos6279	K03231
Skcos6283	K00859
Skcos6290	K08819
Skcos6300	K13179
Skcos6309	K00873
Skcos6315	K01624
Skcos6318	K12194
Skcos6324	K09250
Skcos6326	K04498
Skcos6331	K00058
Skcos6345	K12844
Skcos6362	K06215
Skcos6363	K15177
Skcos6367	K04646
Skcos6369	K01887
Skcos6378	K00111
Skcos6389	K01255
Skcos6391	K00754
Skcos6394	K12586
Skcos6399	K14855
Skcos6401	K03978
Skcos6402	K05516
Skcos6412	K12603
Skcos6422	K09499
Skcos6423	K03014
Skcos6434	K12657
Skcos6435	K01883
Skcos6446	K03531
Skcos6449	K11099
Skcos6458	K03942
Skcos6462	K02518
Skcos6492	K11788
Skcos6493	K13109
Skcos6510	K01972
Skcos6520	K03249
Skcos6542	K15272
Skcos6545	K01527
Skcos6553	K02328
Skcos6561	K11314
Skcos6570	K08596
Skcos6574	K03019
Skcos6593	K00858
Skcos6604	K08596
Skcos6607	K14773
Skcos6648	K03439
Skcos6652	K01265
Skcos6657	K01427
Skcos6672	K10689
Skcos6673	K12483
Skcos6677	K01078
Skcos6683	K01889
Skcos6684	K12823
Skcos6687	K05292
Skcos6692	K03017
Skcos6697	K06671
Skcos6701	K18158
Skcos6702	K01201
Skcos6708	K03021
Skcos6710	K16055
Skcos6718	K13511
Skcos6733	K02991
Skcos6734	K02868
Skcos6748	K17960
Skcos6749	K06269
Skcos6757	K09562
Skcos6768	K08869
Skcos6779	K06174
Skcos6784	K04078
Skcos6794	K12373
Skcos6799	K03404
Skcos6800	K12613
Skcos6806	K08592
Skcos6812	K13811
Skcos6820	K11086
Skcos6821	K03321
Skcos6822	K00510
Skcos6825	K01365
Skcos6833	K00215
Skcos6836	K07901
Skcos6850	K15026
Skcos6851	K12608
Skcos6855	K07942
Skcos6857	K15223
Skcos6867	K14850
Skcos6875	K05543
Skcos6879	K13800
Skcos6893	K03456
Skcos6924	K05695
Skcos6932	K17292
Skcos6933	K08515
Skcos6936	K03949
Skcos6945	K02879
Skcos6952	K00799
Skcos6968	K01694
Skcos6986	K08906
Skcos6987	K02326
Skcos6991	K00077
Skcos7007	K15448
Skcos7015	K07342
Skcos7033	K15272
Skcos7034	K00783
Skcos7050	K14972
Skcos7061	K18106
Skcos7062	K01611
Skcos7071	K03100
Skcos7077	K01340
Skcos7079	K11188
Skcos7095	K14293
Skcos7118	K00555
Skcos7129	K15692
Skcos7134	K08342
Skcos7141	K00913
Skcos7142	K09537
Skcos7144	K00326
Skcos7147	K13412
Skcos7149	K15178
Skcos7161	K07678
Skcos7166	K02866
Skcos7167	K10688
Skcos7176	K14319
Skcos7184	K03262
Skcos7187	K07208
Skcos7191	K02966
Skcos7201	K09458
Skcos7206	K12489
Skcos7209	K14834
Skcos7215	K12833
Skcos7223	K09838
Skcos7225	K02900
Skcos7234	K15731
Skcos7238	K01915
Skcos7249	K10276
Skcos7253	K02739
Skcos7256	K01637
Skcos7259	K14559
Skcos7260	K13210
Skcos7262	K02976
Skcos7274	K03798
Skcos7276	K04567
Skcos7277	K03000
Skcos7284	K01915
Skcos7290	K09553
Skcos7291	K03243
Skcos7297	K00615
Skcos7303	K09497
Skcos7305	K11412
Skcos7308	K03437
Skcos7312	K11600
Skcos7321	K15279
Skcos7323	K13941
Skcos7332	K14341
Skcos7336	K17496
Skcos7337	K11855
Skcos7338	K08098
Skcos7341	K06883
Skcos7343	K02867
Skcos7345	K10691
Skcos7350	K01764
Skcos7352	K16196
Skcos7354	K03132
Skcos7355	K03453
Skcos7358	K13628
Skcos7375	K11984
Skcos7378	K12386
Skcos7380	K16055
Skcos7381	K12501
Skcos7386	K03626
Skcos7390	K02958
Skcos7395	K01624
Skcos7396	K02377
Skcos7412	K03028
Skcos7417	K12855
Skcos7427	K01001
Skcos7442	K00507
Skcos7443	K12391
Skcos7445	K11364
Skcos7450	K05016
Skcos7452	K06158
Skcos7463	K00888
Skcos7465	K03015
Skcos7467	K00600
Skcos7474	K03062
Skcos7475	K05673
Skcos7477	K15029
Skcos7479	K14841
Skcos7482	K08269
Skcos7487	K03305
Skcos7490	K10866
Skcos7501	K01409
Skcos7524	K08490
Skcos7527	K11839
Skcos7537	K01738
Skcos7538	K13354
Skcos7545	K10735
Skcos7552	K08741
Skcos7553	K08576
Skcos7566	K09807
Skcos7568	K15289
Skcos7582	K02882
Skcos7583	K03539
Skcos7586	K03509
Skcos7587	K02540
Skcos7593	K13667
Skcos7606	K11718
Skcos7619	K01183
Skcos7620	K09660
Skcos7622	K13348
Skcos7623	K03349
Skcos7632	K07305
Skcos7639	K17601
Skcos7647	K10768
Skcos7648	K05539
Skcos7649	K07152
Skcos7650	K11547
Skcos7651	K05850
Skcos7658	K00948
Skcos7662	K15463
Skcos7666	K09391
Skcos7688	K02898
Skcos7695	K15371
Skcos7710	K10845
Skcos7715	K13205
Skcos7716	K03524
Skcos7718	K00939
Skcos7719	K03023
Skcos7730	K02548
Skcos7762	K00528
Skcos7763	K02951
Skcos7765	K00318
Skcos7783	K06911
Skcos7791	K01099
Skcos7792	K00898
Skcos7794	K11446
Skcos7800	K03256
Skcos7801	K02999
Skcos7805	K11886
Skcos7819	K03350
Skcos7824	K10534
Skcos7826	K01408
Skcos7833	K03574
Skcos7835	K04648
Skcos7836	K13960
Skcos7837	K00888
Skcos7840	K12818
Skcos7848	K07300
Skcos7850	K00586
Skcos7852	K14347
Skcos7853	K12400
Skcos7854	K00939
Skcos7856	K05542
Skcos7864	K08869
Skcos7870	K03320
Skcos7871	K01365
Skcos7872	K03869
Skcos7879	K11493
Skcos7883	K13348
Skcos7888	K02145
Skcos7909	K15305
Skcos7928	K02684
Skcos7940	K01119
Skcos7963	K13138
Skcos7967	K00869
Skcos7969	K06058
Skcos7974	K03070
Skcos7987	K15631
Skcos8000	K01897
Skcos8010	K13337
Skcos8017	K06252
Skcos8022	K01534
Skcos8030	K11412
Skcos8034	K06890
Skcos8036	K08737
Skcos8039	K14292
Skcos8040	K08967
Skcos8042	K01183
Skcos8046	K03016
Skcos8049	K15710
Skcos8076	K15441
Skcos8083	K07151
Skcos8087	K08498
Skcos8099	K00804
Skcos8104	K17868
Skcos8114	K03797
Skcos8115	K09680
Skcos8116	K02877
Skcos8118	K01515
Skcos8120	K07304
Skcos8122	K12823
Skcos8123	K00939
Skcos8127	K03859
Skcos8131	K07442
Skcos8135	K03657
Skcos8137	K00888
Skcos8139	K08142
Skcos8145	K00993
Skcos8150	K12829
Skcos8152	K00472
Skcos8155	K04554
Skcos8156	K18183
Skcos8162	K00640
Skcos8169	K01078
Skcos8172	K03136
Skcos8173	K12863
Skcos8178	K17805
Skcos8185	K01735
Skcos8191	K09531
Skcos8211	K15275
Skcos8238	K02732
Skcos8249	K02915
Skcos8254	K01595
Skcos8267	K02924
Skcos8272	K11292
Skcos8275	K03596
Skcos8289	K11885
Skcos8290	K10842
Skcos8293	K11438
Skcos8295	K02320
Skcos8297	K01535
Skcos8302	K08292
Skcos8303	K00995
Skcos8304	K10415
Skcos8307	K10144
Skcos8310	K00919
Skcos8320	K01850
Skcos8321	K01937
Skcos8324	K06316
Skcos8325	K03424
Skcos8338	K08592
Skcos8385	K15463
Skcos8396	K03404
Skcos8399	K02735
Skcos8401	K00416
Skcos8402	K00760
Skcos8407	K05609
Skcos8409	K12836
Skcos8412	K03847
Skcos8421	K11426
Skcos8431	K02731
Skcos8441	K07019
Skcos8444	K14535
Skcos8450	K01537
Skcos8457	K01711
Skcos8459	K02210
Skcos8466	K15032
Skcos8468	K00273
Skcos8472	K01854
Skcos8488	K09611
Skcos8489	K14724
Skcos8496	K02356
Skcos8503	K03341
Skcos8509	K15284
Skcos8517	K15336
Skcos8518	K09498
Skcos8525	K17584
Skcos8529	K15281
Skcos8534	K04718
Skcos8539	K07055
Skcos8540	K02883
Skcos8546	K12850
Skcos8549	K17981
Skcos8552	K11547
Skcos8566	K09595
Skcos8569	K01679
Skcos8570	K03348
Skcos8578	K12307
Skcos8581	K01934
Skcos8582	K10589
Skcos8588	K01254
Skcos8589	K13095
Skcos8608	K00655
Skcos8620	K01410
Skcos8630	K06158
Skcos8631	K00413
