Short ID	Description	MMETSP_ID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control	Up -N v +N	Dn -N v +N	Up -P v +P	Dn_-P_v_+P
Throt9310	Locus7589v1rpkm13.61		0.255540632	0.131526994	1.452921065	1.496784533	2.445309346	1.598383482	1.396421419	0	3.212257976	0	0	0	1	0
Throt93	Locus95v1rpkm2368.15		13590.16189	16383.26545	17003.13897	20171.66622	12573.95532	34509.97122	15791.01269	14183.96706	35571.62704	17210.72718	1	1	1	1
Throt9264	Locus7553v3rpkm1.55		996.2251538	2794.422519	2039.504924	1645.964058	2351.688932	1315.324298	2068.100121	2719.133609	1212.627386	2446.667218	0	0	0	1
Throt9263	Locus7553v2rpkm1.87		3877.381894	10211.0982	7139.389945	5743.162252	8174.319815	4560.47869	7385.114315	10215.15158	4515.746374	9215.80564	0	0	0	1
Throt9262	Locus7553v1rpkm13.68		285.6305414	851.3742335	645.2290365	512.3992383	716.4756385	405.8440969	643.1917055	850.5715312	372.3924783	783.5832729	0	0	0	1
Throt923	Locus819v1rpkm113.82		406.5651455	17.75614422	128.6495561	102.2802764	105.6722968	74.97871607	216.1660356	87.8561088	81.4536844	94.37034482	1	0	0	0
Throt92	Locus94v1rpkm2389.23		1850.369716	191.3717766	810.3337029	1583.348571	1032.793869	376.4919638	847.3485169	675.8959639	292.7743699	450.4507989	1	0	0	1
Throt914	Locus811v1rpkm115.27		606.8451158	46.42902895	206.7110424	205.059481	235.797687	102.4418504	410.2686128	161.4582766	120.6891211	150.0643188	1	0	0	0
Throt912	Locus809v1rpkm115.41		317.1259243	360.6470181	35.79469169	143.6913151	1.57198458	6.393533929	3.351411405	4.664926131	15.83184288	3.351952138	0	0	1	0
Throt911	Locus808v1rpkm115.96		105.538281	14.07338838	34.87010555	52.88638682	32.66234627	28.33497991	25.69415411	16.58640402	57.13230258	22.17445261	0	0	1	0
Throt91	Locus93v1rpkm2404.72		1164.562545	56.29355352	293.8863063	427.8309122	418.8465581	203.1400098	241.8601897	95.63098568	413.234044	130.2104484	1	0	1	0
Throt9095	Locus7425v1rpkm13.95		369.8950648	1420.754591	848.5059018	1049.99435	836.1211315	586.1708152	933.6473606	1100.663404	413.463491	1073.398212	0	0	0	1
Throt9065	Locus7400v1rpkm14.01		0.191655474	0.920688959	1.585004798	1.99571271	0.52399486	0	0	0	2.75336398	0	0	0	1	0
Throt9055	Locus7395v1rpkm14.02		12.32983549	37.35366635	31.43592849	20.95498346	14.67185608	9.444993304	28.20771266	19.17802965	17.89686587	17.53328811	1	0	0	0
Throt9054	Locus7394v1rpkm14.02		513.3172445	893.7259256	1404.314251	1559.400019	536.2214067	1052.172254	1485.513105	2124.355528	739.9665696	2362.868415	0	0	0	1
Throt9047	Locus7391v1rpkm14.03		59.54096725	188.7412367	140.9333433	81.57475703	67.07134207	51.29357902	134.8943091	124.1388676	58.50898457	125.8271264	1	0	0	0
Throt904	Locus803v1rpkm117.03		136.7781233	20.12363011	40.41762235	87.56189516	51.17683132	10.17153125	16.19848846	9.589014825	29.82810978	16.24407575	1	0	1	0
Throt9011	Locus7363v2rpkm8.54		18.84612161	60.63394433	69.74021111	27.69051385	35.45698552	48.24211964	78.19959945	69.7147294	18.81465386	42.54400791	0	0	0	1
Throt901	Locus800v1rpkm117.17		1.788784424	0.394580983	3.566260795	1.746248621	7.859922899	5.376380804	3.072127121	0.777487688	10.32511492	1.289212361	0	0	1	1
Throt9	Locus9v1rpkm53763.09		3199.368712	155.3333802	674.8157927	921.5203439	1073.316138	544.467537	467.2426067	221.0656661	879.2408976	288.5257264	1	1	1	1
Throt8943	Locus7311v1rpkm14.17		220.5954506	668.8147655	379.3444816	225.0166081	187.24083	149.8121246	419.7642785	380.1914797	164.2840508	397.0774071	1	0	0	1
Throt89	Locus91v1rpkm2724.18		318.3397423	339.734226	421.4791925	412.8630669	279.9879202	734.3845562	372.8445188	356.0893613	755.3395185	407.6489485	1	0	1	1
Throt8885	Locus7271v1rpkm14.26		166.1652959	624.2271145	384.8919984	464.0032051	375.8789795	269.9815009	443.7827269	497.8512832	175.2975067	482.4232654	0	0	0	1
Throt8839	Locus7233v2rpkm7.38		26.25679994	117.1905518	101.3082233	29.93569065	28.47038739	65.96964554	105.290175	95.63098568	31.89313277	84.83017334	0	0	0	1
Throt882	Locus783v1rpkm118.94		1168.58731	66.55265907	467.1801642	619.4193324	692.8958698	341.9087576	333.7447191	167.9373407	484.1331664	168.1132919	0	0	1	0
Throt881	Locus782v1rpkm119.07		0.191655474	3.025120867	0.660418666	0.498928178	0.873324767	3.051459375	2.513558554	0	6.653962951	0.515684944	0	0	1	0
Throt88	Locus90v1rpkm2739.32		12970.66751	1050.111522	5264.461353	6610.798352	6276.061103	2611.903917	5987.296475	4452.153667	3185.412678	3713.705127	1	0	1	1
Throt8757	Locus7170v1rpkm14.46		53.28022177	272.129351	204.8618701	65.85851944	63.2287131	125.255142	198.2918415	210.1808385	60.11511356	159.6044903	0	0	0	1
Throt8675	Locus7108v1rpkm14.58		11.94652455	17.36156324	40.02137115	20.20659119	15.02118599	7.701302232	40.77550543	26.95290653	16.97907788	41.25479555	1	0	0	0
Throt8638	Locus7080v1rpkm14.64		55.58008746	264.2377314	216.0889875	69.10155259	63.57804301	128.3066013	204.1568114	218.2148779	62.18013654	175.5907236	0	0	0	1
Throt86	Locus88v1rpkm2874.68		1941.597722	52.2162167	218.2023272	492.6915753	417.9732333	141.3842844	80.43387372	38.09689674	146.3871849	47.70085735	1	0	1	1
Throt858	Locus766v1rpkm121.31		0.063885158	10.91674052	0.792502399	1.496784533	1.397319627	6.10291875	2.792842838	1.81413794	11.24290292	3.867637083	0	0	1	0
Throt8569	Locus7024v1rpkm14.76		0.127770316	8.154673641	2.641674663	0.748392266	3.842628973	3.777997321	8.93709708	4.146601005	0.458893997	5.156849443	0	0	0	1
Throt855	Locus763v1rpkm122.49		0	2.630539884	0	0	0	1.598383482	0	0	5.50672796	0	0	0	1	0
Throt8507	Locus6975v1rpkm14.87		0.31942579	2.630539884	1.188753598	0.748392266	0.873324767	5.085765625	1.117137135	0.518325126	10.32511492	0.257842472	0	0	1	0
Throt8505	Locus6973v1rpkm14.87		100.1080426	121.9255236	119.1395273	160.155945	95.89105937	296.8634049	117.5786835	111.439902	253.3094861	135.8829828	0	1	1	0
Throt8490	Locus6961v1rpkm14.90		349.8351252	1036.432714	750.7639393	644.8646695	867.7354881	528.919625	792.0502287	1088.741926	470.3663466	983.9268738	0	0	0	1
Throt8482	Locus6955v1rpkm14.91		0	0.263053988	0.132083733	0	0.174664953	0.871845536	0	0	2.523916981	0	0	0	1	0
Throt8480	Locus6953v1rpkm14.91		63.75738768	132.4476832	21.39756477	187.0980666	2.6199743	8.427840179	5.306401391	3.369113317	12.61958491	4.125479555	0	0	1	0
Throt8435	Locus6923v3rpkm0.57_PRE		49.31934197	193.3446815	145.4241902	106.5211659	168.20235	60.01203437	146.0656804	139.4294588	86.96041236	145.6809968	1	0	0	0
Throt8377	Locus6879v1rpkm15.09		1010.088233	2814.546149	1984.690174	1657.68887	2256.671197	1344.821739	2092.11857	2988.662675	1291.786601	2730.809623	0	0	0	1
Throt8372	Locus6874v1rpkm15.12		476.0083122	1310.140389	948.889539	788.0570564	1080.652066	637.173779	970.7921703	1389.888824	615.1474025	1247.44188	0	0	0	1
Throt8369	Locus6871v1rpkm15.12		22.42369046	72.33984681	81.62774709	32.92925972	43.14224347	57.68711295	93.83951934	82.41369498	24.55082882	49.76359713	0	0	0	1
Throt8340	Locus6843v2rpkm3.15		835.1706705	2267.656907	1635.592868	1372.551416	1902.625337	1121.338667	1708.381964	2402.436957	1050.637805	2150.148375	0	0	0	1
Throt831	Locus744v1rpkm126.18		122.8511588	235.9594276	331.3980865	403.6328956	145.845236	272.7423451	462.4947739	467.0109382	199.8483355	450.7086414	0	0	0	1
Throt830	Locus743v1rpkm126.20		46.50839502	47.6127719	11.62336852	121.4890112	2.794639253	4.795150446	4.747832824	3.369113317	12.16069091	1.547054833	0	0	1	0
Throt83	Locus85v1rpkm2989.67		4181.155821	674.6019533	1955.499669	3223.824419	2048.994567	1062.6344	2566.622568	2084.444493	1204.596741	1531.0686	1	0	1	1
Throt8296	Locus6806v1rpkm15.25		463.9340174	1381.296493	877.0359882	499.4271057	436.4877183	303.6928616	836.1771456	820.2495113	343.7116035	810.39889	1	0	0	1
Throt8221	Locus6742v1rpkm15.44		35.45626269	117.1905518	105.0065679	74.34029845	93.27108507	37.05343527	91.88452935	87.33778367	56.67340858	96.17524212	1	0	0	0
Throt8214	Locus6737v1rpkm15.46		597.3901124	37.48519335	241.4490642	188.5948511	205.5806501	122.9302205	344.9160904	123.6205425	137.668199	151.8692161	1	0	0	0
Throt8206	Locus6730v2rpkm11.54		167.1235733	603.7089034	383.1749099	452.2783929	367.8443917	260.2458924	436.5213355	474.0083274	175.7564007	463.08508	0	0	0	1
Throt82	Locus84v2rpkm2.62_PRE		110.9685194	9.99605156	57.45642393	81.57475703	102.7029926	77.44894509	44.6854854	20.73300503	161.5306868	26.55777463	1	0	1	1
Throt8191	Locus6718v1rpkm15.49		0.31942579	1.052215954	0.528334933	0.748392266	1.746649533	1.307768304	0	0.259162563	4.359492968	0.515684944	0	0	1	0
Throt8108	Locus6653v1rpkm15.64		2.619291478	0.657634971	1.320837332	2.744104976	0.52399486	1.453075893	0.279284284	0.518325126	4.818386965	0.515684944	0	0	1	0
Throt81	Locus84v1rpkm3002.47		1248.635413	156.6486501	670.4570295	1129.573394	1480.809474	1081.233772	556.055009	260.4583756	2082.23151	319.7246655	0	0	1	0
Throt8061	Locus6620v2rpkm2.65		19.29331771	87.86003213	69.07979244	21.70337572	20.9597944	46.93435134	74.01033519	59.34822689	22.94469983	55.95181646	0	0	0	1
Throt8059	Locus6619v1rpkm15.74		23.76527877	79.31077751	87.43943135	30.43461883	40.87159908	56.52465223	91.60524507	79.04458166	26.8452988	53.11554927	0	0	0	1
Throt8048	Locus6609v1rpkm15.76		2.23598053	50.11178479	2.773758396	6.236602219	8.209252806	7.265379464	0	0.518325126	0.458893997	0.773527417	0	1	0	0
Throt802	Locus721v1rpkm130.48		335.0776537	461.1336417	425.9700394	483.9603322	328.0207823	995.938217	381.2230473	421.1391646	740.4254636	400.4293593	0	1	0	0
Throt8012	Locus6579v1rpkm15.84		0.063885158	4.734971791	5.547516793	0.249464089	2.09597944	1.453075893	0	0.259162563	8.030644941	0	0	0	1	0
Throt801	Locus720v1rpkm130.82		1.91655474	8.943835606	4.755014394	2.744104976	2.794639253	2.906151786	1.396421419	1.81413794	9.407326931	2.32058225	0	0	1	0
Throt8004	Locus6573v1rpkm15.86		0	0.789161965	0.264167466	0.249464089	0.174664953	1.017153125	0.558568568	0	2.75336398	0.257842472	0	0	1	0
Throt800	Locus719v1rpkm130.89		0.511081264	1.446796936	0	0	0	3.923304911	0.837852851	0.518325126	9.866220928	0	0	0	1	0
Throt80	Locus83v1rpkm3255.78		3455.292655	4201.892884	4591.7589	4969.823577	3188.159393	9313.489935	3968.350388	3835.087605	8769.92317	4095.82767	0	1	1	1
Throt798	Locus717v1rpkm131.85		0.63885158	1.57832393	1.320837332	0.249464089	0.873324767	1.598383482	0.837852851	0	3.900598971	1.804897305	0	0	1	0
Throt7950	Locus6526v1rpkm15.99		104.1328075	348.5465346	245.5436599	204.5605528	284.354544	178.0017969	265.8786381	337.6888194	153.7294889	304.2541172	0	0	0	1
Throt7918	Locus6501v1rpkm16.04		1.022162528	1.841377919	1.585004798	0.249464089	0.349329907	0	0.279284284	0	2.75336398	0	0	0	1	0
Throt79	Locus82v1rpkm3307.88		193.5081436	22.49111601	113.1957593	170.3839726	235.9723519	46.20781339	25.41486982	13.99477839	44.28327068	13.66565103	0	0	1	1
Throt789	Locus708v1rpkm133.52		1.469358634	4.866498786	2.641674663	4.490353598	3.66796402	6.248226339	1.675705703	1.036650251	6.653962951	1.804897305	0	0	1	0
Throt7845	Locus6440v1rpkm16.18		41.46146754	193.6077355	164.5763315	50.14228184	47.5088673	99.68100625	153.6063561	150.573449	48.64276364	136.9143527	0	0	0	1
Throt780	Locus702v1rpkm135.02		833.1902306	46.95513693	293.4900551	311.830111	420.9425375	130.7768304	557.7307147	200.5918236	189.7526676	198.0230186	1	0	0	0
Throt7775	Locus6387v2rpkm2.25		315.3371399	1176.772017	755.2547862	929.7526589	712.8076745	523.1073214	837.573567	933.7627139	358.3962114	918.1770434	0	0	0	1
Throt7774	Locus6387v1rpkm16.33		32.96474153	107.9836622	74.0989743	80.0779725	68.11933179	43.73758437	74.01033519	81.63620729	29.36921578	84.05664593	0	0	0	1
Throt7714	Locus6338v2rpkm3.15		1205.768472	3179.270504	2260.216842	1815.599638	2566.526824	1493.03548	2282.869735	3321.94573	1435.879315	3100.297885	0	0	0	1
Throt77	Locus80v1rpkm3436.84		440.0409683	81.8097904	171.9730206	238.737133	257.1068113	125.8363723	172.3184031	74.89798066	281.7609139	123.7643866	0	0	1	1
Throt7617	Locus6260v1rpkm16.70		31.62315321	141.9176267	123.4982905	40.91211056	37.72762992	81.22694241	121.2093791	110.9215769	39.46488371	100.8164066	0	0	0	1
Throt7594	Locus6242v1rpkm16.73		1.724899266	5.129552774	1.452921065	0.997856355	0.698659813	5.085765625	0.279284284	0	3.441704975	0.257842472	0	0	1	0
Throt7563	Locus6216v1rpkm16.80		0	1.841377919	0.792502399	0.498928178	0.52399486	2.03430625	1.117137135	0.259162563	3.900598971	0	0	0	1	0
Throt7560	Locus6214v1rpkm16.80		0	0.131526994	0	0	0	1.453075893	0	0	2.523916981	0.257842472	0	0	1	0
Throt7555	Locus6209v1rpkm16.81		24.65967099	90.62209901	63.00394072	27.19158568	37.37830001	39.52366429	60.32540529	61.42152739	21.10912385	57.49887129	0	0	0	1
Throt7528	Locus6191v1rpkm16.86		93.46398615	272.918513	284.9046124	231.5026744	154.5784837	272.7423451	299.9513207	461.0501993	158.3184288	444.0047371	0	0	0	1
Throt752	Locus678v1rpkm139.15		3770.374255	470.3405313	1330.743612	1431.175477	894.9832208	595.4705009	1732.121128	1431.87316	804.2117291	1526.427435	1	0	0	1
Throt7502	Locus6168v1rpkm16.91		165.3347889	12.10048347	69.47604364	54.38317135	51.17683132	32.25828482	89.92953937	32.91364548	30.74589777	45.89596005	1	0	0	0
Throt7475	Locus6146v1rpkm16.94		186.2252356	587.2680291	422.0075275	368.7079232	496.5724623	301.077325	456.0712354	590.6314807	260.8812371	543.5319313	0	0	0	1
Throt7429	Locus6114v1rpkm17.02		191.8471295	597.9217157	425.3096208	361.2240005	499.7164314	307.6161665	460.8190682	602.8121211	271.435799	537.859397	0	0	0	1
Throt741	Locus670v5rpkm5.43_PRE		251.8352928	503.2222798	26.15257917	122.4868676	2.969304206	6.10291875	5.585685675	3.109950754	11.70179691	4.125479555	0	0	1	0
Throt7408	Locus6096v1rpkm17.08		0.31942579	0.789161965	1.717088531	0.498928178	2.445309346	1.017153125	0.558568568	0	3.900598971	0.515684944	0	0	1	0
Throt740	Locus670v4rpkm6.59_PRE		704.3977521	1420.623064	51.11640473	241.9801661	4.890618693	10.31683884	8.378528513	4.405763568	23.17414683	7.735274165	0	0	1	0
Throt74	Locus76v1rpkm3854.19		486.2299375	73.52358976	362.0415126	350.9959729	163.6610613	142.6920527	386.808733	277.3039422	145.9282909	270.2189108	1	0	1	1
Throt7398	Locus6088v2rpkm5.00		33.79524858	147.1787065	131.159147	40.41318238	38.25162478	86.16740045	129.0293391	119.4739415	42.90658869	110.6144206	0	0	0	1
Throt7397	Locus6088v1rpkm17.09		33.73136342	147.5732875	130.8949796	40.41318238	38.25162478	86.31270804	129.0293391	119.4739415	42.90658869	110.872263	0	0	0	1
Throt739	Locus670v3rpkm11.35_PRE		473.1973653	1025.779028	45.43680421	213.0423318	4.366623833	10.17153125	8.099244229	4.405763568	16.74963088	6.188219332	0	0	1	1
Throt738	Locus670v2rpkm38.09		253.1768811	508.8779406	26.54883037	122.9857958	3.14396916	6.10291875	5.585685675	3.109950754	11.70179691	4.125479555	0	0	1	0
Throt7376	Locus6070v1rpkm17.14		45.61400281	163.8826348	121.9132857	52.38745864	49.60484674	63.49941652	123.7229377	112.9948774	48.64276364	101.8477765	0	0	0	1
Throt7363	Locus6057v1rpkm17.17		463.9979025	1132.052839	1649.46166	866.3887803	764.6831656	1556.534896	1846.3484	3063.819818	954.270066	3176.619257	0	0	0	1
Throt7354	Locus6048v2rpkm13.71		163.8654303	9.732997571	44.64430181	48.39603322	96.76438414	31.2411317	152.7685032	63.75399046	38.31764872	61.36650838	1	0	0	0
Throt7353	Locus6048v1rpkm17.20		239.5693425	11.57437549	82.81650069	93.05010511	138.509308	48.24211964	225.9409856	89.15192161	65.16294752	101.3320916	1	0	0	0
Throt735	Locus668v2rpkm12.48_PRE		0.31942579	0.263053988	0.132083733	0.748392266	0.174664953	0.726537946	0	0.259162563	3.900598971	0.257842472	1	0	1	0
Throt7339	Locus6037v1rpkm17.25		112.2462226	516.7695602	421.3471088	138.7020334	124.8854416	258.5022013	399.65581	437.2072435	119.7713331	339.3206934	0	0	0	1
Throt7308	Locus6016v1rpkm17.32		954.8914566	64.18517317	366.5323595	317.8172491	406.4453464	195.4387076	556.6135775	192.5577842	235.6420673	234.6366497	1	0	0	0
Throt729	Locus665v1rpkm143.59		817.8577927	81.6782634	291.9050503	297.1117297	315.4449057	135.7172884	490.9817708	192.0394591	169.5613318	200.8592858	1	0	0	0
Throt728	Locus664v1rpkm143.68		1122.01503	88.25461311	492.1439898	458.5149952	552.8145773	280.5889549	744.2926162	271.8615284	372.8513723	327.4599397	1	0	0	0
Throt7269	Locus5983v2rpkm6.46		119.0819345	390.1090648	290.055878	240.2339175	329.418102	209.2429286	320.897642	382.0056176	172.0852487	355.3069267	0	0	0	1
Throt723	Locus660v1rpkm145.67		1193.246981	1579.244619	1519.491266	1773.440207	1115.410392	3530.247882	1334.978876	1321.72907	2713.440202	1353.930821	0	1	0	0
Throt7213	Locus5942v1rpkm17.54		1239.372065	3513.480596	2604.823302	2241.434838	3001.617223	1750.520528	2852.609674	3766.927851	1616.68355	3398.105941	0	0	0	1
Throt72	Locus74v1rpkm3939.89		26183.7792	37051.94343	35158.44434	40947.78392	27283.88836	81729.70667	32094.51204	32548.22627	62742.97003	32081.01823	1	1	0	1
Throt7127	Locus5871v1rpkm17.76		54.62181009	194.0023165	172.6334392	114.7534808	183.398201	68.58518214	161.1470317	163.5315771	93.38492832	168.1132919	1	0	0	0
Throt71	Locus73v1rpkm4042.24		12744.19463	18319.21128	17676.89809	20343.79644	13621.07172	40197.16496	15738.22796	16484.29397	32353.174	16713.34905	1	1	0	0
Throt7087	Locus5840v1rpkm17.87		1027.0178	82.99353334	403.2516373	360.4756083	478.0579772	149.5215094	752.3918604	224.9531045	285.8909599	247.5287733	1	0	0	0
Throt7083	Locus5836v1rpkm17.88		104.6438888	153.2289483	144.7637715	169.8850445	105.1483019	329.5576125	131.8221819	132.6912322	280.3842319	140.5241473	0	1	0	0
Throt703	Locus644v1rpkm152.40		106.5604435	4.603444797	39.22886875	66.10798352	68.99265656	33.42074554	29.32484979	12.43980302	34.64649675	6.446061804	0	0	1	0
Throt70	Locus72v1rpkm4209.72		10.22162528	0.657634971	6.604186658	11.97427626	13.44920141	6.829456696	1.954989986	0.259162563	6.88340995	1.547054833	1	1	1	0
Throt7	Locus7v1rpkm60963.53		10531.53218	718.9265503	3314.245033	7248.927492	7058.385429	3081.683354	2054.694476	908.8831078	5539.53888	1309.324074	1	1	1	1
Throt699	Locus640v1rpkm153.89		241.4220121	288.5702253	294.2825575	350.4970447	216.933872	622.0617897	274.2571666	251.9060111	616.9829785	293.1668909	0	1	1	0
Throt6954	Locus5727v1rpkm18.22		0.127770316	0.789161965	0.792502399	0.498928178	0.349329907	1.017153125	0.279284284	0	3.441704975	0.257842472	0	0	1	0
Throt6934	Locus5714v1rpkm18.28		1414.545168	3925.554669	2867.141596	2418.304877	3335.576614	1916.316487	3103.127677	4248.451892	1846.359995	3762.437354	0	0	0	1
Throt6931	Locus5712v1rpkm18.29		1.405473476	4.603444797	3.830428262	3.243033154	5.589278506	3.051459375	7.819959945	1.036650251	6.424515953	3.867637083	0	0	1	0
Throt6927	Locus5708v1rpkm18.31		21.08210214	99.8289886	84.53358922	25.44533705	21.48378926	51.29357902	75.96532518	71.52886734	27.5336398	67.03904277	0	0	0	1
Throt69	Locus71v1rpkm4375.18		109.3075053	14.99407734	16.90671784	21.20444755	18.3398201	11.18868437	9.495665648	4.924088694	22.71525283	8.766644054	0	1	1	1
Throt6874	Locus5668v2rpkm5.53		1019.862662	2857.029368	1695.030548	1383.278372	2462.601177	842.6387103	1564.550558	2136.536168	1030.905363	2010.655598	0	0	0	1
Throt6873	Locus5668v1rpkm18.40		42.93082617	210.5747177	162.4629918	50.89067411	49.43018179	99.09977589	156.1199146	157.8300008	49.56055164	128.1477087	0	0	0	1
Throt6840	Locus5642v1rpkm18.48		14.11861992	63.5275382	56.92808899	18.46034257	15.19585094	34.87382143	54.46043533	47.16758643	18.12631287	47.44301488	0	0	0	1
Throt68	Locus70v2rpkm2044.51		6444.479198	361.5677071	1884.966956	2950.910706	3104.14555	1654.908134	1157.633356	568.0843377	2553.515644	758.5725531	0	0	1	1
Throt6782	Locus5593v2rpkm6.18		224.811871	701.6965141	479.7281188	424.0889509	572.7263819	348.3022915	530.9194234	695.3331561	294.6099458	627.5885773	0	0	0	1
Throt678	Locus620v1rpkm159.57		2316.98691	444.0351324	1173.828137	1323.656455	719.2702778	495.6441871	1707.544111	1340.129612	516.0262992	1209.023352	1	0	0	1
Throt6777	Locus5589v2rpkm4.17		1.91655474	4.340390809	6.736270391	2.245176799	3.493299066	3.487382143	5.864969959	6.479064071	1.37668199	3.60979461	0	0	0	1
Throt6767	Locus5581v1rpkm18.67		1328.491861	3649.742562	2680.507281	2304.299788	3096.110963	1798.03611	2906.790825	3860.485536	1691.024378	3504.337039	0	0	0	1
Throt675	Locus617v1rpkm160.04		0.447196106	11.96895647	0.660418666	0.748392266	0.873324767	1.017153125	0.279284284	0.259162563	5.50672796	0.773527417	0	0	1	0
Throt67	Locus70v1rpkm4389.49		6620.99389	394.8440366	1880.079858	2872.329518	3029.38895	1623.23108	1188.913196	581.560791	2498.218918	766.8235122	1	0	1	1
Throt6693	Locus5522v2rpkm2.01		4.216420428	17.23003624	9.113777588	2.494640888	1.397319627	4.213920089	8.93709708	7.256551759	0.917787993	7.993116637	0	0	0	1
Throt669	Locus613v1rpkm161.02		87.07547035	110.0880942	30.77550983	188.345387	7.685257946	10.02622366	9.495665648	5.960738945	25.69806381	2.836267194	0	0	1	1
