	KEGG
Throt1743	K00503
Throt1767	K00820
Throt1775	K07375
Throt1777	K06269
Throt1787	K04564
Throt1790	K04078
Throt1792	K12169
Throt1793	K00924
Throt1806	K03116
Throt1807	K17255
Throt1816	K09839
Throt1822	K02437
Throt1823	K02437
Throt1829	K02377
Throt1837	K03704
Throt1838	K03868
Throt1839	K03868
Throt1847	K13789
Throt1851	K02732
Throt1858	K02728
Throt1866	K08678
Throt1875	K02518
Throt1887	K01379
Throt1895	K02219
Throt1897	K02730
Throt1898	K14564
Throt1913	K12835
Throt1924	K02966
Throt1926	K01940
Throt1933	K01623
Throt1936	K03950
Throt1941	K07901
Throt1949	K10577
Throt1950	K10577
Throt1952	K03136
Throt1953	K03283
Throt1969	K01858
Throt1977	K02155
Throt1982	K03644
Throt1986	K03248
Throt1987	K12418
Throt1988	K02149
Throt1990	K08515
Throt1993	K11584
Throt2003	K02739
Throt2006	K17969
Throt2013	K14319
Throt2020	K03839
Throt2025	K13811
Throt2026	K13811
Throt2043	K13348
Throt2057	K00284
Throt2058	K01312
Throt2063	K04382
Throt2066	K01527
Throt2067	K01527
Throt2070	K02155
Throt2071	K00600
Throt2074	K17279
Throt2078	K14007
Throt2082	K03963
Throt2086	K01702
Throt2087	K09584
Throt2100	K11251
Throt2102	K02956
Throt2104	K01807
Throt2111	K01895
Throt2117	K02725
Throt2138	K17279
Throt2139	K17279
Throt2140	K07904
Throt2144	K03144
Throt2146	K02635
Throt2158	K02221
Throt2159	K00036
Throt2161	K10580
Throt2177	K05658
Throt2180	K01255
Throt2188	K00252
Throt2194	K07889
Throt2202	K00052
Throt2217	K04536
Throt2220	K00820
Throt2226	K00432
Throt2229	K14016
Throt2241	K03965
Throt2242	K00236
Throt2246	K03254
Throt2256	K03247
Throt2268	K15382
Throt2270	K10357
Throt2274	K03969
Throt2276	K07901
Throt2277	K03251
Throt2281	K02975
Throt2282	K02975
Throt2283	K17086
Throt2285	K01079
Throt2292	K01738
Throt2294	K12603
Throt2297	K00387
Throt2302	K11251
Throt2308	K15109
Throt2312	K12946
Throt2319	K04487
Throt2321	K17900
Throt2330	K08794
Throt2345	K13525
Throt2348	K10592
Throt2355	K01694
Throt2357	K01695
Throt2360	K00435
Throt2363	K01285
Throt2368	K00253
Throt2369	K10704
Throt2371	K11187
Throt2379	K09489
Throt2404	K01057
Throt2408	K04646
Throt2415	K03115
Throt2417	K08906
Throt2420	K14821
Throt2421	K14293
Throt2424	K00789
Throt2426	K02960
Throt2427	K02726
Throt2433	K03014
Throt2435	K06207
Throt2440	K01687
Throt2461	K01012
Throt2468	K00434
Throt2471	K01792
Throt2479	K02147
Throt2483	K11086
Throt2484	K11086
Throt2495	K12947
Throt2506	K15171
Throt2519	K00895
Throt2523	K03246
Throt2537	K01868
Throt2540	K10575
Throt2542	K01637
Throt2546	K01365
Throt2576	K13091
Throt2593	K16911
Throt2599	K01437
Throt2602	K14565
Throt2606	K10798
Throt2609	K02901
Throt2610	K02901
Throt2611	K00589
Throt2621	K01647
Throt2626	K02694
Throt2658	K04567
Throt2661	K02720
Throt2662	K17785
Throt2666	K06943
Throt2675	K15987
Throt2676	K01507
Throt2678	K17087
Throt2684	K02966
Throt2689	K13412
Throt2711	K08794
Throt2722	K07390
Throt2738	K00416
Throt2739	K00416
Throt2747	K09553
Throt2751	K01749
Throt2752	K01749
Throt2754	K04078
Throt2757	K17497
Throt2771	K03063
Throt2774	K02957
Throt2778	K07393
Throt2786	K01689
Throt2789	K00231
Throt2796	K01899
Throt2801	K02372
Throt2804	K00026
Throt2807	K13628
Throt2810	K02738
Throt2814	K03676
Throt2825	K02731
Throt2833	K12833
Throt2835	K13811
Throt2844	K07497
Throt2848	K03029
Throt2851	K06185
Throt2853	K02641
Throt2877	K12197
Throt2883	K05291
Throt2897	K02134
Throt2898	K02134
Throt2901	K13094
Throt2924	K03527
Throt2936	K03032
Throt2948	K12948
Throt2950	K01662
Throt2954	K10206
Throt2961	K15631
Throt2962	K15631
Throt2964	K01609
Throt2971	K02036
Throt2985	K10949
Throt2986	K06215
Throt2987	K01900
Throt2991	K00134
Throt2996	K02979
Throt3008	K01802
Throt3014	K02835
Throt3016	K00161
Throt3022	K15382
Throt3028	K04564
Throt3041	K17777
Throt3046	K03252
Throt3050	K02735
Throt3055	K11275
Throt3056	K11275
Throt3058	K14012
Throt3063	K11252
Throt3065	K04345
Throt3072	K03839
Throt3080	K03453
Throt3081	K11131
Throt3088	K11096
Throt3089	K00020
Throt3097	K11252
Throt3100	K17600
Throt3102	K03064
Throt3106	K12850
Throt3109	K17086
Throt3112	K00382
Throt3117	K13800
Throt3121	K10418
Throt3126	K03661
Throt3131	K00266
Throt3135	K06099
Throt3136	K08568
Throt3138	K12493
Throt3143	K01783
Throt3144	K01783
Throt3157	K06890
Throt3159	K12178
Throt3164	K11840
Throt3170	K01551
Throt3192	K15371
Throt3194	K13280
Throt3197	K02356
Throt3201	K01881
Throt3203	K00218
Throt3204	K00218
Throt3208	K11654
Throt3212	K00820
Throt3214	K14563
Throt3215	K14563
Throt3217	K03941
Throt3222	K00167
Throt3227	K12823
Throt3229	K12812
Throt3234	K09562
Throt3243	K01373
Throt3247	K12835
Throt3249	K15116
Throt3261	K00799
Throt3281	K14965
Throt3291	K03456
Throt3293	K12122
Throt3295	K03217
Throt3303	K17609
Throt3305	K00472
Throt3306	K07953
Throt3310	K10579
Throt3313	K01802
Throt3325	K03231
Throt3327	K03773
Throt3332	K12198
Throt3350	K12848
Throt3366	K01735
Throt3371	K01210
Throt3373	K03249
Throt3382	K02335
Throt3396	K17267
Throt3399	K01802
Throt3406	K01057
Throt3411	K08065
Throt3430	K02040
Throt3434	K08830
Throt3437	K11098
Throt3441	K15731
Throt3444	K03035
Throt3448	K08994
Throt3451	K07575
Throt3457	K02906
Throt3471	K00235
Throt3475	K02183
Throt3477	K12403
Throt3480	K03544
Throt3481	K03544
Throt3491	K03260
Throt3499	K16055
Throt3505	K18106
Throt3523	K08495
Throt3526	K17302
Throt3537	K01115
Throt3551	K12898
Throt3552	K02541
Throt3559	K00873
Throt3560	K13210
Throt3561	K02838
Throt3562	K11099
Throt3563	K11446
Throt3566	K01966
Throt3569	K10601
Throt3572	K02887
Throt3574	K01755
Throt3586	K04078
Throt3588	K10847
Throt3599	K06174
Throt3607	K11129
Throt3615	K00698
Throt3622	K10691
Throt3631	K15272
Throt3654	K03163
Throt3665	K12795
Throt3679	K15275
Throt3686	K13507
Throt3693	K12385
Throt3700	K03250
Throt3721	K14411
Throt3726	K00384
Throt3727	K13628
Throt3729	K03009
Throt3735	K07151
Throt3748	K12614
Throt3754	K00873
Throt3771	K01265
Throt3774	K01201
Throt3784	K15276
Throt3798	K03953
Throt3804	K00326
Throt3806	K11130
Throt3814	K02492
Throt3816	K03132
Throt3817	K02896
Throt3818	K12624
Throt3822	K03798
Throt3832	K15028
Throt3841	K12819
Throt3842	K12819
Throt3856	K12580
Throt3857	K12580
Throt3865	K01768
Throt3866	K07897
Throt3868	K03253
Throt3875	K14004
Throt3883	K02729
Throt3888	K03347
Throt3890	K03347
Throt3893	K01599
Throt3897	K09613
Throt3898	K09613
Throt3901	K01802
Throt3939	K12856
Throt3948	K00022
Throt3955	K01624
Throt3968	K12871
Throt3976	K02831
Throt3977	K10529
Throt3989	K11262
Throt3995	K00264
Throt3996	K02217
Throt4001	K00392
Throt4021	K00428
Throt4027	K12391
Throt4028	K00658
Throt4031	K12827
Throt4038	K03147
Throt4043	K00863
Throt4044	K00863
Throt4047	K00297
Throt4048	K12836
Throt4049	K13124
Throt4051	K17427
Throt4059	K11450
Throt4062	K09523
Throt4066	K07509
Throt4071	K08150
Throt4074	K08493
Throt4075	K00510
Throt4087	K00891
Throt4093	K00107
Throt4100	K03031
Throt4102	K03061
Throt4104	K01939
Throt4111	K00228
Throt4113	K00382
Throt4126	K03016
Throt4130	K00166
Throt4146	K10610
Throt4151	K01889
Throt4163	K15026
Throt4168	K17800
Throt4172	K01834
Throt4189	K11128
Throt4196	K15275
Throt4208	K00510
Throt4218	K01875
Throt4223	K02358
Throt4232	K00698
Throt4234	K08517
Throt4235	K12879
Throt4238	K12483
Throt4247	K02146
Throt4248	K00111
Throt4251	K01519
Throt4253	K01866
Throt4254	K15448
Throt4262	K17783
Throt4266	K12622
Throt4270	K00820
Throt4271	K00820
Throt4273	K00710
Throt4276	K02148
Throt4283	K14570
Throt4285	K10843
Throt4292	K14840
Throt4293	K03100
Throt4298	K14005
Throt4299	K01736
Throt4300	K01736
Throt4303	K13348
Throt4304	K03259
Throt4305	K11097
Throt4306	K13989
Throt4307	K10599
Throt4312	K02879
Throt4332	K04043
Throt4333	K04077
Throt4338	K03531
Throt4341	K17839
Throt4342	K03522
Throt4346	K07390
Throt4347	K07390
Throt4350	K11885
Throt4353	K01735
Throt4354	K00588
Throt4355	K01921
Throt4357	K14396
Throt4360	K01652
Throt4365	K08902
Throt4367	K03265
Throt4371	K06961
Throt4383	K01803
Throt4407	K00234
Throt4429	K13024
Throt4434	K01873
Throt4437	K03065
Throt4470	K17794
Throt4479	K02737
Throt4480	K02737
Throt4491	K12178
Throt4492	K03942
Throt4493	K00456
Throt4495	K09560
Throt4497	K01953
Throt4505	K00934
Throt4509	K18041
Throt4510	K03949
Throt4521	K03038
Throt4523	K03881
Throt4531	K15272
Throt4542	K01495
Throt4543	K07151
Throt4553	K07198
Throt4554	K10728
Throt4558	K02575
Throt4562	K00831
Throt4573	K07203
Throt4574	K07203
Throt4583	K11323
Throt4609	K17917
Throt4628	K01834
Throt4629	K12828
Throt4640	K13412
Throt4641	K12834
Throt4652	K00058
Throt4667	K06443
Throt4669	K15032
Throt4677	K10413
Throt4679	K02217
Throt4680	K03258
Throt4694	K00021
Throt4697	K17301
Throt4704	K01515
Throt4707	K17498
Throt4723	K02902
Throt4733	K11093
Throt4734	K12524
Throt4746	K01419
Throt4748	K03062
Throt4749	K00134
Throt4757	K11204
Throt4767	K09565
Throt4768	K11292
Throt4772	K10591
Throt4777	K02736
Throt4778	K02736
Throt4781	K02291
Throt4798	K01893
Throt4800	K04482
Throt4823	K09496
Throt4827	K17430
Throt4845	K02917
Throt4856	K04077
Throt4857	K11251
Throt4861	K00944
Throt4865	K01784
Throt4867	K06063
Throt4875	K03152
Throt4879	K00162
Throt4886	K03033
Throt4887	K10573
Throt4888	K10573
Throt4894	K00940
Throt4897	K12196
Throt4898	K07375
Throt4899	K13989
Throt4900	K11092
Throt4905	K02885
Throt4914	K10839
Throt4922	K04508
Throt4925	K01711
Throt4931	K00472
Throt4936	K12831
Throt4946	K00655
Throt4963	K00611
Throt4964	K17614
Throt4966	K00026
Throt4967	K00939
Throt4968	K00939
Throt4970	K14805
Throt4989	K01120
Throt4990	K15553
Throt5006	K01354
Throt5015	K00140
Throt5035	K14806
Throt5045	K03083
Throt5055	K01868
Throt5057	K03039
Throt5072	K00548
Throt5073	K00548
Throt5080	K03020
Throt5097	K13917
Throt5103	K00797
Throt5104	K13525
Throt5123	K01887
Throt5124	K01887
Throt5134	K07199
Throt5150	K12323
Throt5151	K00797
Throt5166	K02996
Throt5178	K12492
Throt5191	K00972
Throt5199	K02967
Throt5208	K00962
Throt5210	K08869
Throt5212	K15275
Throt5213	K15275
Throt5214	K15177
Throt5232	K07977
Throt5233	K18170
Throt5243	K01099
Throt5248	K10865
Throt5253	K03030
Throt5267	K02326
Throt5268	K02326
Throt5279	K00845
Throt5286	K11209
Throt5287	K00826
Throt5288	K11087
Throt5300	K16794
Throt5301	K13125
Throt5310	K04615
Throt5314	K00630
Throt5333	K06058
Throt5335	K00995
Throt5336	K11108
Throt5340	K06883
Throt5342	K12900
Throt5345	K07874
Throt5354	K00326
Throt5369	K03097
Throt5370	K03097
Throt5377	K12389
Throt5378	K02940
Throt5379	K02940
Throt5382	K02895
Throt5399	K03977
Throt5400	K08727
Throt5426	K14521
Throt5428	K10582
Throt5429	K11808
Throt5430	K11808
Throt5440	K01626
Throt5441	K01626
Throt5447	K02955
Throt5448	K01649
Throt5454	K08596
Throt5464	K01372
Throt5466	K00088
Throt5475	K12194
Throt5477	K14833
Throt5479	K01244
Throt5481	K14539
Throt5486	K17686
Throt5488	K11519
Throt5490	K02977
Throt5494	K12839
Throt5497	K02925
Throt5520	K17780
Throt5531	K01115
Throt5533	K01507
Throt5535	K02151
Throt5537	K10808
Throt5538	K12179
Throt5540	K01537
Throt5544	K00826
Throt5547	K12184
Throt5561	K01427
Throt5572	K03217
Throt5573	K03872
Throt5578	K03066
Throt5579	K15029
Throt5603	K00344
Throt5604	K00344
Throt5607	K15178
Throt5610	K11173
Throt5617	K01011
Throt5618	K13963
Throt5626	K05236
Throt5633	K02218
Throt5635	K02218
Throt5636	K13137
Throt5642	K11090
Throt5654	K03106
Throt5661	K07238
Throt5673	K03574
Throt5677	K03037
Throt5679	K12604
Throt5683	K00820
Throt5684	K17822
Throt5716	K09838
Throt5723	K08360
Throt5726	K00428
Throt5736	K03131
Throt5755	K01267
Throt5764	K06685
Throt5769	K14674
Throt5780	K14290
Throt5791	K00366
Throt5796	K03145
Throt5808	K01885
Throt5819	K01892
Throt5821	K02156
Throt5825	K01880
Throt5826	K01792
Throt5828	K01792
Throt5837	K00262
Throt5840	K00942
Throt5854	K00103
Throt5858	K11805
Throt5868	K13210
Throt5880	K03235
Throt5884	K14006
Throt5886	K17506
Throt5893	K02930
Throt5894	K12815
Throt5913	K01965
Throt5919	K11279
Throt5921	K07508
Throt5925	K02639
Throt5935	K13121
Throt5937	K08776
Throt5951	K02734
Throt5952	K02734
Throt5954	K16914
Throt5960	K10630
Throt5961	K10630
Throt5969	K12845
Throt5971	K01183
Throt5972	K01183
Throt5975	K12867
Throt5977	K01414
Throt5987	K02729
Throt5993	K02923
Throt5994	K01876
Throt5999	K10899
Throt6000	K10899
Throt6046	K01312
Throt6050	K10144
Throt6078	K00248
Throt6081	K04798
Throt6085	K13181
Throt6093	K01809
Throt6095	K00942
Throt6098	K02154
Throt6101	K01754
Throt6102	K01754
Throt6104	K02865
Throt6107	K00948
Throt6123	K12392
Throt6131	K15292
Throt6142	K01183
Throt6146	K08869
Throt6177	K02898
Throt6183	K12032
Throt6194	K00869
Throt6197	K13119
Throt6202	K17778
Throt6212	K03259
Throt6224	K15111
Throt6230	K11094
Throt6262	K01183
Throt6283	K00602
Throt6287	K11806
Throt6296	K03514
Throt6305	K11649
Throt6306	K02293
Throt6308	K14213
Throt6310	K00423
Throt6312	K13979
Throt6313	K07562
Throt6314	K07562
Throt6318	K12304
Throt6332	K07942
Throt6333	K03696
Throt6335	K14662
Throt6336	K00215
Throt6358	K00826
Throt6362	K08337
Throt6365	K00670
Throt6375	K03036
Throt6387	K03428
Throt6394	K02915
Throt6395	K17795
Throt6396	K14791
Throt6405	K01835
Throt6406	K03671
Throt6409	K03094
Throt6412	K04523
Throt6414	K07376
Throt6417	K02964
Throt6433	K05857
Throt6445	K05768
Throt6448	K12183
Throt6454	K09843
Throt6457	K12883
Throt6460	K01183
Throt6462	K04498
Throt6465	K04456
Throt6493	K12863
Throt6498	K03500
Throt6513	K13348
Throt6531	K17609
Throt6532	K03869
Throt6541	K00948
Throt6542	K00948
Throt6545	K01082
Throt6551	K09498
Throt6561	K03105
Throt6569	K02913
Throt6573	K00933
Throt6582	K01890
Throt6587	K06944
Throt6589	K14775
Throt6596	K14569
Throt6601	K01835
Throt6602	K00800
Throt6605	K00627
Throt6614	K01734
Throt6615	K01256
Throt6619	K07195
Throt6624	K02986
Throt6626	K02260
Throt6631	K00134
Throt6634	K15033
Throt6642	K13121
Throt6647	K02975
Throt6648	K17422
Throt6654	K11865
Throt6655	K02938
Throt6663	K03783
Throt6668	K15172
Throt6671	K01090
Throt6674	K12394
Throt6687	K05955
Throt6696	K15109
Throt6697	K00600
Throt6698	K00600
Throt6699	K15437
Throt6701	K12626
Throt6702	K08832
Throt6708	K08516
Throt6739	K02967
Throt6740	K02863
Throt6745	K03301
Throt6746	K00099
Throt6750	K10570
Throt6759	K08269
Throt6775	K01778
Throt6776	K06672
Throt6777	K06672
Throt6783	K07374
Throt6785	K04498
Throt6812	K02870
Throt6831	K14415
Throt6832	K00294
Throt6842	K14538
Throt6851	K11269
Throt6865	K03120
Throt6870	K03152
Throt6881	K12855
Throt6884	K12623
Throt6899	K16186
Throt6905	K10807
Throt6910	K06670
Throt6914	K01847
Throt6916	K13421
Throt6917	K01591
Throt6920	K14811
Throt6930	K11644
Throt6947	K01641
Throt6948	K01641
Throt6951	K06677
Throt6954	K01893
Throt6956	K14652
Throt6957	K01497
Throt6960	K02929
Throt6975	K03644
Throt6977	K01783
Throt7000	K12873
Throt7011	K11843
Throt7014	K02227
Throt7015	K00384
Throt7016	K09250
Throt7034	K17609
Throt7037	K15261
Throt7038	K15551
Throt7052	K02889
Throt7063	K14015
Throt7068	K03715
Throt7085	K17972
Throt7096	K12605
Throt7098	K07200
Throt7111	K11600
Throt7112	K06013
Throt7116	K10601
Throt7139	K12842
Throt7141	K03934
Throt7142	K02880
Throt7148	K03012
Throt7152	K02959
Throt7161	K15109
Throt7168	K14816
Throt7173	K07511
Throt7176	K12195
Throt7178	K11788
Throt7180	K00640
Throt7185	K02641
Throt7195	K06067
Throt7198	K01069
Throt7207	K06867
Throt7211	K00648
Throt7215	K11883
Throt7221	K01551
Throt7224	K12862
Throt7227	K14297
Throt7228	K14297
Throt7231	K12823
Throt7233	K01867
Throt7234	K05850
Throt7241	K10047
Throt7247	K07509
Throt7250	K08864
Throt7251	K15276
Throt7265	K01120
Throt7269	K07204
Throt7277	K00789
Throt7279	K00627
Throt7284	K12657
Throt7296	K08955
Throt7302	K12843
Throt7306	K14152
Throt7307	K02541
Throt7317	K14823
Throt7341	K12860
Throt7343	K01537
Throt7346	K12199
Throt7348	K11839
Throt7360	K13412
Throt7363	K07374
Throt7366	K07023
Throt7370	K17428
Throt7374	K11786
Throt7377	K09668
Throt7387	K02876
Throt7388	K03511
Throt7389	K03028
Throt7394	K01697
Throt7395	K01697
Throt7397	K00472
Throt7399	K17619
Throt7410	K10578
Throt7421	K14856
Throt7425	K03715
Throt7437	K12447
Throt7439	K02945
Throt7443	K01507
Throt7450	K01834
Throt7453	K01802
Throt7454	K01120
Throt7455	K02926
Throt7475	K01280
Throt7481	K03884
Throt7506	K14309
Throt7512	K01183
Throt7530	K05658
Throt7531	K06147
Throt7565	K10732
Throt7566	K07208
Throt7568	K13120
Throt7585	K01365
Throt7591	K17781
Throt7593	K00873
Throt7600	K01850
Throt7602	K02259
Throt7603	K11416
Throt7605	K03527
Throt7609	K14327
Throt7611	K14327
Throt7612	K14327
Throt7621	K02942
Throt7625	K12587
Throt7654	K01476
Throt7663	K00942
Throt7670	K00817
Throt7671	K03239
Throt7679	K01626
Throt7685	K02949
Throt7686	K14810
Throt7695	K14847
Throt7697	K08860
Throt7700	K08293
Throt7703	K01923
Throt7718	K11308
Throt7723	K06130
Throt7728	K12581
Throt7745	K15849
Throt7751	K00765
Throt7757	K17496
Throt7759	K10740
Throt7761	K14797
Throt7767	K01872
Throt7770	K11412
Throt7774	K01183
Throt7793	K10689
Throt7799	K00872
Throt7801	K00981
Throt7809	K10743
Throt7812	K09554
Throt7813	K06636
Throt7816	K01120
Throt7820	K01834
Throt7833	K10597
Throt7834	K10597
Throt7854	K07910
Throt7863	K07739
Throt7868	K05665
Throt7869	K01515
Throt7870	K17081
Throt7878	K08142
Throt7883	K06185
Throt7888	K16575
Throt7893	K14831
Throt7896	K08683
Throt7927	K06184
Throt7966	K12185
Throt7978	K08819
Throt7979	K08819
Throt7981	K10950
Throt7997	K11968
Throt8003	K02964
Throt8017	K00898
Throt8023	K06130
Throt8026	K09458
Throt8029	K02915
Throt8031	K16536
Throt8049	K02995
Throt8057	K08874
Throt8064	K08884
Throt8065	K00145
Throt8080	K06127
Throt8106	K14997
Throt8121	K03782
Throt8130	K01462
Throt8132	K00323
Throt8143	K01934
Throt8147	K12854
Throt8165	K14848
Throt8166	K14416
Throt8180	K02892
Throt8181	K10609
Throt8182	K17768
Throt8183	K00295
Throt8184	K00654
Throt8187	K08963
Throt8190	K01874
Throt8192	K04794
Throt8194	K03141
Throt8201	K06862
Throt8204	K02257
Throt8212	K00814
Throt8224	K01737
Throt8228	K03189
Throt8230	K07513
Throt8238	K02937
Throt8241	K00106
Throt8242	K13481
Throt8247	K12618
Throt8260	K05916
Throt8262	K02894
Throt8275	K11275
Throt8276	K14766
Throt8279	K14537
Throt8288	K10903
Throt8289	K03595
Throt8290	K03595
Throt8299	K00164
Throt8326	K02987
Throt8336	K00910
Throt8345	K02957
Throt8348	K12373
Throt8352	K04461
Throt8353	K04554
Throt8360	K02870
Throt8367	K10754
Throt8379	K10405
Throt8389	K17339
Throt8400	K01581
Throt8401	K01581
Throt8407	K12175
Throt8410	K14209
Throt8412	K02999
Throt8417	K09518
Throt8421	K01876
Throt8429	K14319
Throt8430	K00784
Throt8431	K00784
Throt8445	K03762
Throt8446	K16803
Throt8455	K07300
Throt8458	K12393
Throt8473	K00819
Throt8484	K15100
Throt8502	K04648
Throt8506	K12460
Throt8508	K01555
Throt8515	K01870
Throt8523	K02212
Throt8558	K01885
Throt8577	K14792
Throt8580	K01100
Throt8581	K01100
Throt8587	K14798
Throt8591	K01265
Throt8593	K01620
Throt8598	K08876
Throt8606	K15979
Throt8618	K02973
Throt8619	K08493
Throt8620	K03678
Throt8621	K03678
Throt8631	K00803
Throt8636	K03521
Throt8659	K14838
Throt8660	K00383
Throt8666	K10426
Throt8667	K03495
Throt8671	K14794
Throt8695	K14852
Throt8708	K17868
Throt8711	K17868
Throt8713	K12608
Throt8719	K05283
Throt8724	K00681
Throt8725	K00681
Throt8740	K03130
Throt8753	K09313
Throt8754	K09313
Throt8759	K00323
Throt8761	K05928
Throt8770	K00555
Throt8772	K02910
Throt8773	K00558
Throt8781	K15103
Throt8791	K01580
Throt8803	K16465
Throt8805	K14573
Throt8806	K01081
Throt8827	K03260
Throt8833	K06942
Throt8835	K13237
