New Seq Name	Old Seq Name	Description
Skcos22	CAMNT_0000278871	CAMNT_0000278871 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12805 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=495
Skcos23	CAMNT_0000278875	CAMNT_0000278875 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12807 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1443
Skcos24	CAMNT_0000278879	CAMNT_0000278879 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12809 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=241
Skcos25	CAMNT_0000278881	CAMNT_0000278881 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12810 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=775
Skcos26	CAMNT_0000279773	CAMNT_0000279773 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13256 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2626
Skcos27	CAMNT_0000279775	CAMNT_0000279775 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13257 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2970
Skcos28	CAMNT_0000279965	CAMNT_0000279965 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13352 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1759
Skcos29	CAMNT_0000279973	CAMNT_0000279973 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13356 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1060
Skcos30	CAMNT_0000279975	CAMNT_0000279975 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13357 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=774
Skcos31	CAMNT_0000280199	CAMNT_0000280199 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13469 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=662
Skcos32	CAMNT_0000280205	CAMNT_0000280205 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13472 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=299
Skcos33	CAMNT_0000280273	CAMNT_0000280273 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13506 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=4048
Skcos34	CAMNT_0000280277	CAMNT_0000280277 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13508 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=241
Skcos35	CAMNT_0000280291	CAMNT_0000280291 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13515 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=464
Skcos36	CAMNT_0000279669	CAMNT_0000279669 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13204 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1854
Skcos37	CAMNT_0000279673	CAMNT_0000279673 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13206 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2795
Skcos38	CAMNT_0000279677	CAMNT_0000279677 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13208 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=319
Skcos39	CAMNT_0000279855	CAMNT_0000279855 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13297 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2981
Skcos40	CAMNT_0000280289	CAMNT_0000280289 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13514 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=933
Skcos41	CAMNT_0000280293	CAMNT_0000280293 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13516 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2465
Skcos42	CAMNT_0000280295	CAMNT_0000280295 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13517 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1425
Skcos43	CAMNT_0000280305	CAMNT_0000280305 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13522 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=560
Skcos44	CAMNT_0000280469	CAMNT_0000280469 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13604 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1006
Skcos45	CAMNT_0000280477	CAMNT_0000280477 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13608 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2834
Skcos46	CAMNT_0000280421	CAMNT_0000280421 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13580 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=537
Skcos47	CAMNT_0000280591	CAMNT_0000280591 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13665 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2753
Skcos48	CAMNT_0000280587	CAMNT_0000280587 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13663 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1821
Skcos49	CAMNT_0000280825	CAMNT_0000280825 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13782 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2306
Skcos50	CAMNT_0000281701	CAMNT_0000281701 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14220 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=182
Skcos51	CAMNT_0000281713	CAMNT_0000281713 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14226 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=182
Skcos52	CAMNT_0000281719	CAMNT_0000281719 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14229 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=154
Skcos53	CAMNT_0000281723	CAMNT_0000281723 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14231 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=212
Skcos54	CAMNT_0000281727	CAMNT_0000281727 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14233 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=151
Skcos55	CAMNT_0000281391	CAMNT_0000281391 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14065 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3448
Skcos56	CAMNT_0000281559	CAMNT_0000281559 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14149 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3215
Skcos57	CAMNT_0000281561	CAMNT_0000281561 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14150 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1288
Skcos58	CAMNT_0000281565	CAMNT_0000281565 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14152 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=983
Skcos59	CAMNT_0000281317	CAMNT_0000281317 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14028 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=986
Skcos60	CAMNT_0000281331	CAMNT_0000281331 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14035 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=207
Skcos61	CAMNT_0000281335	CAMNT_0000281335 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14037 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=187
Skcos62	CAMNT_0000281347	CAMNT_0000281347 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14043 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=183
Skcos63	CAMNT_0000281355	CAMNT_0000281355 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14047 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=715
Skcos64	CAMNT_0000281367	CAMNT_0000281367 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14053 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=151
Skcos65	CAMNT_0000281371	CAMNT_0000281371 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14055 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=186
Skcos66	CAMNT_0000281377	CAMNT_0000281377 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14058 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=279
Skcos67	CAMNT_0000281115	CAMNT_0000281115 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13927 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1145
Skcos68	CAMNT_0000281117	CAMNT_0000281117 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13928 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1341
Skcos69	CAMNT_0000281105	CAMNT_0000281105 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13922 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=674
Skcos70	CAMNT_0000281451	CAMNT_0000281451 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14095 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=266
Skcos71	CAMNT_0000281473	CAMNT_0000281473 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14106 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=157
Skcos72	CAMNT_0000281479	CAMNT_0000281479 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14109 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=335
Skcos73	CAMNT_0000281483	CAMNT_0000281483 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14111 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=210
Skcos74	CAMNT_0000281495	CAMNT_0000281495 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14117 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=187
Skcos75	CAMNT_0000281497	CAMNT_0000281497 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14118 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=243
Skcos76	CAMNT_0000281513	CAMNT_0000281513 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14126 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=167
Skcos77	CAMNT_0000282995	CAMNT_0000282995 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14867 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=5267
Skcos78	CAMNT_0000283021	CAMNT_0000283021 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14880 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=271
Skcos79	CAMNT_0000283051	CAMNT_0000283051 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14895 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=173
Skcos80	CAMNT_0000283053	CAMNT_0000283053 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14896 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=286
Skcos81	CAMNT_0000283057	CAMNT_0000283057 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14898 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=200
Skcos82	CAMNT_0000283067	CAMNT_0000283067 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14903 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=212
Skcos83	CAMNT_0000283079	CAMNT_0000283079 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14909 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=219
Skcos84	CAMNT_0000283081	CAMNT_0000283081 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14910 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=212
Skcos85	CAMNT_0000283085	CAMNT_0000283085 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14912 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=237
Skcos86	CAMNT_0000283097	CAMNT_0000283097 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14918 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=215
Skcos87	CAMNT_0000281771	CAMNT_0000281771 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14255 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1103
Skcos88	CAMNT_0000281959	CAMNT_0000281959 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14349 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1892
Skcos89	CAMNT_0000281965	CAMNT_0000281965 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14352 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=213
Skcos90	CAMNT_0000281955	CAMNT_0000281955 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14347 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=650
Skcos91	CAMNT_0000281967	CAMNT_0000281967 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14353 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2003
Skcos92	CAMNT_0000281957	CAMNT_0000281957 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14348 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=242
Skcos93	CAMNT_0000282167	CAMNT_0000282167 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14453 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1483
Skcos94	CAMNT_0000282169	CAMNT_0000282169 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14454 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1337
Skcos95	CAMNT_0000282173	CAMNT_0000282173 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14456 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1223
Skcos96	CAMNT_0000282269	CAMNT_0000282269 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14504 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2284
Skcos97	CAMNT_0000281991	CAMNT_0000281991 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14365 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=858
Skcos98	CAMNT_0000281997	CAMNT_0000281997 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14368 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=761
Skcos99	CAMNT_0000282001	CAMNT_0000282001 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14370 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=285
Skcos100	CAMNT_0000282003	CAMNT_0000282003 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14371 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1222
Skcos101	CAMNT_0000282005	CAMNT_0000282005 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14372 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=747
Skcos102	CAMNT_0000282007	CAMNT_0000282007 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14373 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=747
Skcos103	CAMNT_0000282191	CAMNT_0000282191 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14465 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1297
Skcos104	CAMNT_0000282195	CAMNT_0000282195 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14467 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1041
Skcos105	CAMNT_0000282197	CAMNT_0000282197 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14468 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=794
Skcos106	CAMNT_0000282227	CAMNT_0000282227 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14483 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1160
Skcos107	CAMNT_0000282235	CAMNT_0000282235 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14487 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=686
Skcos108	CAMNT_0000282325	CAMNT_0000282325 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14532 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3762
Skcos109	CAMNT_0000281855	CAMNT_0000281855 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14297 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1202
Skcos110	CAMNT_0000281857	CAMNT_0000281857 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14298 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2036
Skcos111	CAMNT_0000281887	CAMNT_0000281887 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14313 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=984
Skcos112	CAMNT_0000281889	CAMNT_0000281889 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14314 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1246
Skcos113	CAMNT_0000281891	CAMNT_0000281891 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14315 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1410
Skcos114	CAMNT_0000282085	CAMNT_0000282085 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14412 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2359
Skcos115	CAMNT_0000282087	CAMNT_0000282087 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14413 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=945
Skcos116	CAMNT_0000282091	CAMNT_0000282091 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14415 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=503
Skcos117	CAMNT_0000282099	CAMNT_0000282099 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14419 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=964
Skcos118	CAMNT_0000282415	CAMNT_0000282415 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14577 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=175
Skcos119	CAMNT_0000282419	CAMNT_0000282419 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14579 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=222
Skcos120	CAMNT_0000282431	CAMNT_0000282431 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14585 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=151
Skcos121	CAMNT_0000282711	CAMNT_0000282711 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14725 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=528
Skcos122	CAMNT_0000282721	CAMNT_0000282721 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14730 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=871
Skcos123	CAMNT_0000282739	CAMNT_0000282739 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14739 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=628
Skcos124	CAMNT_0000282753	CAMNT_0000282753 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14746 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=344
Skcos125	CAMNT_0000282767	CAMNT_0000282767 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14753 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=175
Skcos126	CAMNT_0000282769	CAMNT_0000282769 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14754 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=294
Skcos127	CAMNT_0000282783	CAMNT_0000282783 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14761 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=168
Skcos128	CAMNT_0000282789	CAMNT_0000282789 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14764 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=173
Skcos129	CAMNT_0000282843	CAMNT_0000282843 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14791 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1777
Skcos130	CAMNT_0000282847	CAMNT_0000282847 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14793 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2243
Skcos131	CAMNT_0000283011	CAMNT_0000283011 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14875 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=723
Skcos132	CAMNT_0000283015	CAMNT_0000283015 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14877 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1414
Skcos133	CAMNT_0000283019	CAMNT_0000283019 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14879 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3289
Skcos134	CAMNT_0000283023	CAMNT_0000283023 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14881 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=306
Skcos135	CAMNT_0000282447	CAMNT_0000282447 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14593 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1002
Skcos136	CAMNT_0000282451	CAMNT_0000282451 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14595 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=870
Skcos137	CAMNT_0000282895	CAMNT_0000282895 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14817 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1567
Skcos138	CAMNT_0000283077	CAMNT_0000283077 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14908 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1558
Skcos139	CAMNT_0000283083	CAMNT_0000283083 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14911 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=264
Skcos140	CAMNT_0000283087	CAMNT_0000283087 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14913 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=201
Skcos141	CAMNT_0000283089	CAMNT_0000283089 /NCGR_SEQ_ID=MMETSP0013_2-20120614|14914 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=277
